Video analysis state log

Face Model	General
Calibration	Continuous
Start time	11/20/2022 20:52:48.687
Filename	C:\Charles-Pension\Session-11112022\16-11\PC4-16-11-2022-16-44-16.mp4
Frame rate	7.089613021

Age	Gender
29.000000000	Female


Video Time	Dominant Expression
00:00:00.000	Unknown
00:00:01.269	Neutral
00:00:39.917	Happy
00:00:42.174	Neutral
00:00:44.149	Angry
00:00:46.688	Neutral
00:00:51.060	Sad
00:00:56.420	Neutral
00:00:57.407	Sad
00:01:05.306	Neutral
00:01:08.550	Happy
00:01:09.256	Neutral
00:01:21.527	Sad
00:01:23.925	Neutral
00:01:25.336	Sad
00:01:26.182	Neutral
00:01:45.506	Sad
00:01:46.493	Neutral
00:02:25.565	Sad
00:02:27.398	Neutral
00:02:29.232	Angry
00:02:29.937	Neutral
00:02:31.489	Angry
00:02:34.592	Sad
00:02:39.106	Neutral
00:02:47.710	Disgusted
00:02:48.415	Neutral
00:02:50.108	Disgusted
00:02:51.377	Neutral
00:02:56.455	Sad
00:03:01.533	Neutral
00:03:39.193	Happy
00:03:44.271	Neutral
00:06:02.925	Disgusted
00:06:05.182	Neutral
00:06:09.977	Happy
00:06:32.264	Neutral
00:06:34.520	Sad
00:06:36.636	Neutral
00:06:51.023	Angry
00:06:51.870	Neutral
00:06:52.575	Angry
00:06:53.421	Neutral
00:06:55.114	Angry
00:06:56.948	Neutral
00:06:57.653	Sad
00:06:59.769	Neutral
00:07:03.436	Sad
00:07:04.564	Neutral
00:07:56.753	Sad
00:07:57.600	Neutral
00:08:23.271	Sad
00:08:24.117	Neutral
00:08:33.427	Sad
00:08:34.837	Neutral
00:08:37.940	Sad
00:08:39.069	Neutral
00:08:44.852	Unknown
00:08:51.481	Neutral
00:09:00.650	Happy
00:09:03.189	Neutral
00:09:27.873	Sad
00:09:29.424	Neutral
00:09:35.912	Angry
00:09:36.759	Neutral
00:09:43.952	Sad
00:09:45.363	Neutral
00:09:48.889	Sad
00:09:49.877	Neutral
00:09:51.428	Angry
00:09:55.801	Sad
00:09:56.506	Neutral
00:10:14.419	Angry
00:10:15.548	Neutral
00:10:17.241	Angry
00:10:22.742	Neutral
00:10:41.219	Sad
00:11:04.775	Neutral
00:11:37.922	Sad
00:11:38.768	Neutral
