Video analysis state log

Face Model	General
Calibration	Continuous
Start time	1/11/2023 17:08:07.203
Filename	C:\Charles-Pension\Session-11212022\22-12\PC6-22-12-2022-12-16-10.mp4
Frame rate	9.934438479

Age	Gender
21.000000000	Female


Video Time	Dominant Expression
00:00:00.000	Unknown
00:00:01.107	Neutral
00:00:24.762	Happy
00:00:26.775	Neutral
00:00:31.003	Happy
00:00:33.922	Neutral
00:00:34.727	Angry
00:01:05.428	Neutral
00:01:12.374	Angry
00:01:15.192	Neutral
00:01:16.501	Unknown
00:01:17.004	Neutral
00:01:17.709	Angry
00:01:24.051	Neutral
00:01:27.272	Angry
00:01:27.876	Neutral
00:01:50.625	Angry
00:02:01.496	Neutral
00:02:55.953	Sad
00:02:57.060	Neutral
00:03:22.829	Sad
00:03:24.239	Neutral
00:03:34.305	Angry
00:03:35.311	Neutral
00:03:48.397	Angry
00:03:49.102	Neutral
00:03:52.524	Angry
00:03:53.531	Neutral
00:03:59.973	Angry
00:04:00.577	Neutral
00:04:15.072	Sad
00:04:16.280	Neutral
00:05:21.809	Angry
00:05:23.017	Neutral
00:05:40.532	Angry
00:05:41.740	Neutral
00:05:53.316	Angry
00:05:54.121	Neutral
00:06:20.091	Angry
00:06:20.997	Neutral
00:06:38.009	Angry
00:06:38.814	Neutral
00:06:50.793	Angry
00:06:52.001	Unknown
00:06:53.108	Neutral
00:07:30.855	Angry
00:07:32.969	Neutral
00:07:34.479	Angry
00:07:36.694	Neutral
00:07:37.902	Angry
00:07:39.210	Neutral
00:07:40.116	Angry
00:07:44.746	Neutral
00:07:53.806	Angry
00:07:57.933	Neutral
00:07:59.644	Angry
00:08:00.349	Neutral
00:08:01.255	Angry
00:08:02.563	Neutral
00:08:08.905	Angry
00:08:09.609	Neutral
00:08:20.682	Angry
00:08:32.761	Neutral
00:08:34.674	Sad
00:08:35.680	Neutral
00:08:36.888	Angry
00:08:37.694	Neutral
00:08:51.987	Unknown
00:08:52.491	Neutral
00:08:54.504	Angry
00:08:55.208	Neutral
00:08:56.114	Angry
00:08:58.329	Neutral
00:09:51.276	Angry
00:09:52.081	Neutral
00:09:53.591	Angry
00:09:54.396	Neutral
00:09:56.611	Sad
00:09:57.416	Angry
00:10:05.167	Neutral
00:10:05.872	Angry
00:10:08.791	Neutral
00:10:10.401	Angry
00:10:11.811	Neutral
00:10:47.042	Angry
00:10:47.847	Neutral
00:10:48.954	Angry
00:10:49.659	Neutral
00:11:00.027	Angry
00:11:01.436	Neutral
00:11:03.047	Angry
00:11:09.187	Neutral
00:11:10.395	Angry
00:11:10.999	Neutral
00:11:14.421	Angry
00:11:15.126	Neutral
00:11:17.139	Angry
00:11:18.548	Neutral
00:11:27.708	Angry
00:11:28.413	Neutral
00:11:52.269	Angry
00:11:52.974	Neutral
00:11:59.819	Angry
00:12:00.423	Neutral
00:13:22.360	Angry
00:13:23.467	Neutral
00:13:59.201	Angry
00:14:00.812	Neutral
00:14:02.825	Angry
00:14:08.261	Neutral
00:14:08.965	Angry
00:14:10.173	Neutral
00:14:11.079	Angry
00:14:14.200	Neutral
00:14:14.904	Angry
00:14:16.314	Neutral
00:14:16.918	Angry
00:14:18.830	Neutral
00:14:19.535	Angry
00:14:20.139	Neutral
00:14:21.548	Unknown
00:14:22.051	Neutral
00:14:23.662	Angry
00:14:28.091	Neutral
00:14:37.956	Angry
00:14:42.989	Neutral
00:14:45.706	Angry
00:14:46.612	Neutral
00:14:51.444	Angry
00:14:52.451	Neutral
00:14:58.792	Angry
00:14:59.396	Neutral
00:15:03.825	Angry
00:15:04.530	Neutral
00:15:09.059	Unknown
00:15:10.771	Neutral
00:15:13.488	Angry
00:15:14.092	Neutral
00:15:15.502	Angry
00:15:16.710	Neutral
00:20:31.272	Angry
00:20:31.977	Neutral
00:24:10.610	Unknown
00:24:12.120	Neutral
00:25:14.932	Happy
00:25:15.636	Neutral
00:27:16.831	END
