"UIDVideo","UIDWeb","treatment","perfil","Valence1","Valence2","Arousal1","Arousal2","ValenceX1","ValenceX2","ArousalX1","ArousalX2","Diff2_Valence","Diff2_Arousal","Diff2_ValenceX","Diff2_ArousalX","sitio","video","t_perfil","t_video"
"301120221615487","9636-2-6-22-1-SCESS-LAB-07G","6","1",-0.200956614068258,-0.350998706089433,0.345890380441067,0.296039139564961,-0.200956614068258,-0.351187908768869,0.345890380441067,0.296046570868026,-0.150042092021175,-0.0498512408761057,-0.15023129470061,-0.0498438095730407,"VideoPerfil",1,"perfil","video"
"301120221610498","8565-2-3-19-8-SCESS-LAB-08H","3","8",-0.0474495267407059,-0.186734511647687,0.283828256340852,0.288174711270492,-0.0474495267407059,-0.186734511647687,0.283828256340852,0.288174711270492,-0.139284984906981,0.0043464549296397,-0.139284984906981,0.0043464549296397,"VideoPerfil",1,"perfil","video"
"2212202212213213","5652-1-3-22-6-SCESS-LAB-13M","3","6",-0.178798813606115,-0.186069760165452,0.33370361035411,0.340605421884127,-0.180283203452138,-0.186288265113651,0.333606798410676,0.340732207708466,-0.00727094655933705,0.00690181153001718,-0.00600506166151249,0.00712540929778926,"VideoPerfil",1,"perfil","video"
"221220221214183","8009-2-6-22-2-SCESS-LAB-03C","6","2",-0.0446096949935238,-0.053130796923807,0.190396776657143,0.100376846877175,-0.0446096949935238,-0.0531015405903804,0.190396776657143,0.100391538389756,-0.00852110193028321,-0.090019929779968,-0.0084918455968566,-0.0900052382673873,"VideoPerfil",1,"perfil","video"
"221220221218434","1469-2-3-21-7-SCESS-LAB-04D","3","7",-0.12406139673181,-0.248220431259102,0.273972828991792,0.204260137186392,-0.12406139673181,-0.248220431259102,0.273972828991792,0.204260137186392,-0.124159034527292,-0.0697126918054001,-0.124159034527292,-0.0697126918054001,"VideoPerfil",1,"perfil","video"
"221220221216106","6915-2-6-22-1-SCESS-LAB-06F","6","1",-0.219274815391952,-0.148637980750485,0.362205782912773,0.270283891100324,-0.219274815391952,-0.148637980750485,0.362205782912773,0.270283891100324,0.0706368346414668,-0.091921891812449,0.0706368346414668,-0.091921891812449,"VideoPerfil",1,"perfil","video"
"221220221258547","4284-2-2-21-7-SCESS-LAB-07G","2","7",-0.169245571186655,-0.119999403581895,0.297378217862042,0.321570808872253,-0.169245571186655,-0.119999403581895,0.297378217862042,0.321570808872253,0.0492461676047598,0.0241925910102115,0.0492461676047598,0.0241925910102115,"Video",1,"producto","video"
"151120221615531","919-1-3-19-7-SCESS-LAB-01A","3","7",-0.168324986910519,-0.272629044430652,0.365403993403591,0.257559972052516,-0.168148135986762,-0.272825436388693,0.365252423796513,0.257780792264799,-0.104304057520133,-0.107844021351075,-0.104677300401932,-0.107471631531714,"VideoPerfil",1,"perfil","video"
"151120221739471","6147-1-4-20-4-SCESS-LAB-01A","4","4",-0.0455518261696165,-0.10660361913288,0.327044245806995,0.335511339467787,-0.0455518261696165,-0.106015752229007,0.327044245806995,0.335643788484801,-0.0610517929632633,0.00846709366079174,-0.0604639260593906,0.00859954267780599,"Perfil",0,"perfil","texto"
"1511202214443710","5525-1-7-19-3-SCESS-LAB-10J","7","3",-0.0737800937928398,-0.325766314697391,0.342705195689955,0.393492952498369,-0.0737263880716024,-0.325766314697391,0.342725082116788,0.393492952498369,-0.251986220904551,0.0507877568084144,-0.252039926625788,0.0507678703815809,"Baseline",0,"producto","texto"
"1511202216092210","3336-1-1-22-5-SCESS-LAB-10J","1","5",-0.0426436391614583,-0.146236004822259,0.257074190516183,0.281476469032711,-0.0426436391614583,-0.146231113866049,0.257074190516183,0.281467613382735,-0.103592365660801,0.0244022785165276,-0.103587474704591,0.0243934228665518,"Perfil",0,"perfil","texto"
"151120221445313","3619-1-1-23-8-SCESS-LAB-03C","1","8",-0.0499598552931548,-0.0668095579543514,0.300462226025132,0.323793983957307,-0.0499598552931548,-0.0668095579543514,0.300462226025132,0.323793983957307,-0.0168497026611966,0.0233317579321748,-0.0168497026611966,0.0233317579321748,"Perfil",0,"perfil","texto"
"151120221610293","3955-2-2-21-8-SCESS-LAB-03C","2","8",-0.0686029590714286,-0.136407404608622,0.262810074971429,0.261568859989434,-0.0686029590714286,-0.136407404608622,0.262810074971429,0.261568859989434,-0.0678044455371936,-0.00124121498199492,-0.0678044455371936,-0.00124121498199492,"Video",1,"producto","video"
"151120221447364","6679-2-3-21-7-SCESS-LAB-04D","3","7",-0.0886858421791667,-0.106308188928976,0.292055630436905,0.117314715976075,-0.0887161427363095,-0.106326071513927,0.292055630436905,0.11735632383264,-0.0176223467498093,-0.17474091446083,-0.0176099287776179,-0.174699306604265,"VideoPerfil",1,"perfil","video"
"151120221612114","6552-1-7-22-2-SCESS-LAB-04D","7","2",-0.180842381260649,-0.234954928621723,0.296594670412844,0.298875659749345,-0.181105625572002,-0.234844284439056,0.296562043383027,0.298918923363368,-0.0541125473610747,0.00228098933650067,-0.0537386588670544,0.00235687998034079,"Baseline",0,"producto","texto"
"151120221610086","8218-2-4-22-3-SCESS-LAB-06F","4","3",-0.254606548838214,-0.3987780226232,0.203970257648625,0.271561448451499,-0.254606548838214,-0.3987780226232,0.203970257648625,0.271561448451499,-0.144171473784986,0.0675911908028744,-0.144171473784986,0.0675911908028744,"Perfil",0,"perfil","texto"
"151120221445417","6345-2-7-21-1-SCESS-LAB-07G","7","1",-0.0594053946918165,-0.0591403704055973,0.278620165662252,0.276274618995405,-0.0594053946918165,-0.0591403704055973,0.278620165662252,0.276274618995405,0.000265024286219127,-0.0023455466668465,0.000265024286219127,-0.0023455466668465,"Baseline",0,"producto","texto"
"151120221610127","2295-2-1-22-5-SCESS-LAB-07G","1","5",-0.0284708201376391,-0.0557332794582157,0.253075306644249,0.247578779717674,-0.0284708201376391,-0.0557332794582157,0.253075306644249,0.247578779717674,-0.0272624593205766,-0.00549652692657496,-0.0272624593205766,-0.00549652692657496,"Perfil",0,"perfil","texto"
"1611202216464611","2473-1-5-21-4-SCESS-LAB-11K","5","4",-0.0756194342967464,-0.0948847204724147,0.35353340961107,0.326660330476889,-0.0756194342967464,-0.0948847204724147,0.35353340961107,0.326660330476889,-0.0192652861756683,-0.026873079134181,-0.0192652861756683,-0.026873079134181,"Video",1,"producto","video"
