Video analysis state log

Face Model	General
Calibration	Continuous
Start time	11/18/2022 14:13:47.922
Filename	C:\Charles-Pension\Session-11112022\15-11\PC4-15-11-2022-16-12-11.mp4
Frame rate	7.211519580

Age	Gender
30.000000000	Male


Video Time	Dominant Expression
00:00:00.000	Unknown
00:00:01.248	Neutral
00:01:48.992	Sad
00:01:50.240	Neutral
00:02:25.045	Sad
00:02:27.819	Neutral
00:02:36.000	Sad
00:02:37.248	Neutral
00:02:41.408	Sad
00:02:42.656	Neutral
00:03:06.507	Sad
00:03:07.200	Neutral
00:05:10.475	Sad
00:05:17.408	Neutral
00:05:31.830	Sad
00:05:32.523	Neutral
00:05:36.128	Sad
00:05:44.587	Neutral
00:06:07.744	Sad
00:06:08.438	Neutral
00:06:12.736	Sad
00:06:17.035	Neutral
00:06:24.939	Sad
00:06:27.297	Neutral
00:06:28.129	Sad
00:06:29.099	Neutral
00:06:46.849	Sad
00:06:47.681	Neutral
00:06:55.723	Sad
00:06:59.467	Neutral
00:07:01.963	Sad
00:07:03.073	Neutral
00:07:04.875	Sad
00:07:05.569	Neutral
00:07:26.785	Sad
00:07:27.894	Neutral
00:07:30.806	Sad
00:07:38.710	Neutral
00:07:41.345	Sad
00:07:42.870	Neutral
00:08:13.654	Sad
00:08:28.630	Unknown
00:08:30.572	Sad
00:08:31.265	Neutral
00:08:59.830	Sad
00:09:01.356	Neutral
00:09:25.068	Sad
00:09:27.702	Neutral
00:09:32.001	Sad
00:09:35.329	Neutral
00:09:38.241	Sad
00:09:54.326	Neutral
00:09:58.902	Sad
00:10:00.844	Neutral
00:10:03.894	Sad
00:10:05.697	Neutral
00:10:08.609	Sad
00:10:10.828	Neutral
00:10:14.017	Sad
00:10:14.849	Neutral
00:10:18.732	Unknown
00:10:19.286	Neutral
00:10:25.388	Sad
00:10:28.161	Unknown
00:10:29.409	Neutral
00:10:31.489	Sad
00:10:32.460	Neutral
00:10:34.401	Sad
00:10:35.233	Neutral
00:10:36.481	Sad
00:10:54.092	Neutral
00:10:55.895	Sad
00:10:56.588	Neutral
00:10:58.391	Sad
00:10:59.223	Neutral
00:11:06.433	Sad
00:11:08.929	Neutral
00:11:11.009	Sad
00:11:12.951	Neutral
00:11:14.199	Sad
00:11:16.972	Neutral
00:11:17.804	Sad
00:11:24.876	Neutral
00:12:05.228	Unknown
00:12:08.001	Neutral
00:13:11.095	Unknown
00:13:12.343	Neutral
00:13:17.335	Sad
00:13:20.247	Neutral
00:13:25.378	Sad
00:13:27.596	Neutral
00:13:30.370	Sad
00:13:31.479	Neutral
00:13:33.004	Sad
00:13:45.068	Neutral
00:13:45.900	Sad
00:13:46.594	Neutral
00:13:47.426	Sad
00:13:48.119	Neutral
00:13:48.812	Sad
00:14:05.452	Neutral
00:14:09.474	Sad
00:14:11.276	Neutral
00:14:13.634	Sad
00:14:14.882	Neutral
00:14:19.042	Sad
00:14:20.151	Neutral
00:14:30.551	Sad
00:14:32.631	Neutral
00:14:33.740	Sad
00:14:35.127	Neutral
00:14:50.935	Sad
00:14:53.015	Neutral
00:14:55.095	Sad
00:14:56.343	Neutral
00:14:57.730	Sad
00:15:00.087	Neutral
00:15:02.861	Sad
00:15:03.693	Neutral
00:15:11.458	Sad
00:15:13.122	Neutral
00:15:16.589	Sad
00:15:17.282	Neutral
00:15:31.149	Sad
00:15:32.119	Neutral
00:15:37.111	Sad
00:15:38.637	Neutral
00:15:41.687	Sad
00:15:45.570	Neutral
00:15:53.335	Sad
00:15:55.277	Unknown
00:15:55.831	Sad
00:15:57.357	Neutral
00:16:00.407	Sad
00:16:01.933	Neutral
00:16:08.311	Sad
00:16:09.005	Neutral
00:16:10.807	Sad
00:16:12.471	Neutral
00:16:26.061	Sad
00:16:26.754	Neutral
00:16:32.023	Sad
00:17:01.837	Neutral
00:17:03.224	Unknown
00:17:04.472	Sad
00:17:06.274	Neutral
00:17:08.493	Sad
00:17:11.960	Neutral
00:17:12.930	Sad
00:17:24.024	Neutral
00:17:25.410	Sad
00:17:28.600	Neutral
00:17:30.125	Sad
00:17:33.314	Neutral
00:17:41.218	Sad
00:17:41.912	Neutral
00:17:45.933	Sad
00:17:47.458	Neutral
00:17:50.232	Sad
00:17:51.896	Neutral
00:17:55.224	Sad
00:17:58.136	Neutral
00:18:01.186	Sad
00:18:03.544	Neutral
00:18:04.792	Sad
00:18:12.557	Neutral
00:18:16.578	Sad
00:18:22.125	Neutral
00:18:23.789	Sad
00:18:27.256	Neutral
00:19:00.258	Sad
00:19:02.754	Neutral
00:19:28.131	Sad
00:19:28.824	Neutral
00:19:30.488	Sad
00:19:32.291	Neutral
00:20:43.565	Sad
00:20:44.536	Neutral
00:21:00.483	Unknown
00:21:11.576	Neutral
00:21:13.240	Unknown
00:21:16.984	Neutral
00:22:14.254	Unknown
00:22:16.888	Neutral
00:22:22.019	Sad
00:22:24.792	Neutral
00:22:27.288	Unknown
00:22:30.062	Neutral
00:22:32.142	Unknown
00:22:34.499	Neutral
00:22:36.163	Unknown
00:22:37.966	Neutral
00:22:42.819	Unknown
00:22:45.315	Neutral
00:22:47.811	Unknown
00:22:49.752	Neutral
00:22:51.694	Unknown
00:23:05.422	Neutral
00:23:29.827	Sad
00:23:32.739	Neutral
00:23:40.227	Unknown
00:23:42.030	Neutral
00:23:45.913	Unknown
00:23:47.022	Neutral
00:23:51.321	Unknown
00:23:58.115	Neutral
00:23:58.947	Unknown
00:24:05.465	Neutral
00:24:11.011	Unknown
00:24:11.843	Neutral
00:24:14.894	END
