Video analysis state log

Face Model	General
Calibration	Continuous
Start time	1/12/2023 02:49:40.393
Filename	C:\Charles-Pension\Session-11212022\24-11\PC14-24-11-2022-15-50-01.mp4
Frame rate	6.555617787

Age	Gender
19.000000000	Male


Video Time	Dominant Expression
00:00:00.000	Unknown
00:00:01.372	Neutral
00:00:04.423	Angry
00:00:06.254	Neutral
00:02:22.625	Sad
00:02:23.998	Neutral
00:02:52.371	Sad
00:03:06.099	Neutral
00:03:12.811	Sad
00:03:14.794	Neutral
00:03:20.896	Sad
00:03:22.116	Neutral
00:03:43.472	Sad
00:03:47.743	Neutral
00:04:16.268	Sad
00:04:20.844	Neutral
00:04:51.353	Angry
00:04:52.726	Neutral
00:05:18.505	Sad
00:05:19.420	Neutral
00:06:38.131	Sad
00:06:39.504	Neutral
00:09:16.316	Sad
00:09:17.384	Neutral
00:09:33.706	Angry
00:09:34.621	Neutral
00:09:36.299	Angry
00:09:37.519	Neutral
00:09:50.028	Sad
00:09:50.791	Neutral
00:09:53.384	Sad
00:09:55.824	Neutral
00:10:05.587	Sad
00:10:17.028	Neutral
00:11:12.858	Sad
00:11:15.908	Neutral
00:11:25.366	Sad
00:11:26.891	Neutral
00:12:19.213	Sad
00:12:21.348	Neutral
00:13:13.822	Sad
00:13:14.738	Neutral
00:13:52.415	Sad
00:13:53.483	Neutral
00:15:41.024	Sad
00:15:43.160	Neutral
00:15:51.702	Sad
00:15:56.279	Neutral
00:16:01.465	Sad
00:16:05.889	Neutral
00:16:15.041	Sad
00:16:17.482	Neutral
00:16:52.871	Angry
00:16:55.159	Neutral
00:19:31.819	Unknown
00:19:32.582	Neutral
00:19:35.632	Angry
00:19:37.158	Neutral
00:24:01.816	Sad
00:24:02.579	Neutral
00:24:57.646	Sad
00:24:58.714	Neutral
00:26:12.696	Sad
00:26:13.764	Neutral
00:26:31.917	Angry
00:26:33.900	Neutral
00:28:51.034	Sad
00:28:52.407	Neutral
00:28:55.305	Sad
00:28:56.983	Neutral
00:29:38.627	Sad
00:29:39.389	Neutral
00:30:18.440	Sad
00:30:19.660	Neutral
00:30:21.948	Sad
00:30:24.847	Neutral
00:31:26.321	Sad
00:31:28.151	Neutral
00:31:32.727	Sad
00:31:34.710	Neutral
00:31:37.456	Sad
00:31:38.676	Neutral
00:32:08.422	Sad
00:32:10.405	Neutral
00:32:12.998	Sad
00:32:14.218	Neutral
00:32:48.235	Sad
00:32:50.066	Neutral
00:32:51.591	Sad
00:32:58.760	Neutral
00:32:59.981	Sad
00:33:02.574	Neutral
00:33:03.337	Sad
00:33:04.099	Neutral
00:33:11.726	Sad
00:33:13.557	Neutral
00:33:25.150	Sad
00:33:29.726	Neutral
00:33:40.862	Unknown
00:33:42.235	Sad
00:33:43.150	Neutral
00:33:47.116	Sad
00:33:48.794	Neutral
00:33:50.472	Angry
00:33:51.540	Neutral
00:33:58.862	Angry
00:33:59.624	Neutral
00:34:02.980	Angry
00:34:04.506	Neutral
00:34:22.658	Angry
00:34:23.573	Neutral
00:34:31.048	Unknown
00:34:32.421	Angry
00:34:34.251	Neutral
00:35:09.488	Sad
00:35:10.708	Neutral
00:35:13.759	Sad
00:35:14.522	Angry
00:35:24.132	Neutral
00:35:28.098	Angry
00:35:29.623	Neutral
00:35:36.488	Angry
00:35:39.081	Unknown
00:35:42.742	Angry
00:35:46.708	Neutral
00:35:51.742	Sad
00:35:52.657	Neutral
00:35:54.488	END
