Video analysis state log

Face Model	General
Calibration	Continuous
Start time	1/12/2023 02:57:23.629
Filename	C:\Charles-Pension\Session-11212022\24-11\PC2-24-11-2022-14-01-39.mp4
Frame rate	7.202100754

Age	Gender
27.000000000	Female


Video Time	Dominant Expression
00:00:00.000	Unknown
00:00:01.249	Neutral
00:01:04.842	Sad
00:01:10.118	Neutral
00:01:11.923	Sad
00:01:17.060	Neutral
00:01:19.560	Sad
00:01:20.254	Neutral
00:01:28.724	Sad
00:01:43.442	Neutral
00:01:44.275	Sad
00:01:46.219	Neutral
00:02:06.352	Sad
00:02:08.018	Neutral
00:02:41.480	Sad
00:02:42.452	Neutral
00:02:44.951	Sad
00:02:49.950	Neutral
00:03:12.999	Sad
00:03:21.330	Neutral
00:03:23.274	Sad
00:03:30.494	Neutral
00:03:31.466	Sad
00:03:37.436	Neutral
00:03:38.547	Sad
00:03:39.380	Neutral
00:03:47.155	Sad
00:03:48.405	Neutral
00:03:51.460	Sad
00:03:57.014	Neutral
00:03:57.708	Sad
00:04:00.763	Neutral
00:04:03.401	Sad
00:04:05.206	Neutral
00:04:49.360	Sad
00:04:51.165	Neutral
00:05:34.069	Sad
00:05:35.179	Neutral
00:05:52.536	Sad
00:05:56.146	Neutral
00:05:57.673	Sad
00:06:01.005	Neutral
00:06:05.310	Sad
00:06:06.420	Neutral
00:06:33.635	Angry
00:06:34.745	Neutral
00:06:36.134	Angry
00:06:36.828	Neutral
00:07:25.147	Angry
00:07:25.842	Neutral
00:07:35.283	Angry
00:07:36.116	Neutral
00:07:41.115	Sad
00:07:44.864	Neutral
00:08:07.357	Angry
00:08:08.885	Neutral
00:08:20.826	Angry
00:08:21.520	Neutral
00:08:22.353	Angry
00:08:24.436	Neutral
00:08:25.685	Angry
00:08:28.323	Neutral
00:08:44.708	Sad
00:08:47.623	Neutral
00:08:49.567	Sad
00:08:51.511	Neutral
00:08:53.038	Sad
00:08:54.843	Neutral
00:09:04.007	Sad
00:09:05.257	Neutral
00:09:05.951	Sad
00:09:09.839	Neutral
00:09:11.922	Sad
00:09:12.894	Neutral
00:09:14.976	Angry
00:09:15.810	Neutral
00:09:53.437	Unknown
00:09:54.409	Neutral
00:10:05.934	Sad
00:10:07.600	Neutral
00:10:09.266	Sad
00:10:43.562	Neutral
00:12:26.865	Sad
00:13:15.184	Neutral
00:13:16.017	Sad
00:13:33.234	Neutral
00:13:36.567	Sad
00:13:38.650	Neutral
00:13:39.344	Sad
00:13:42.121	Neutral
00:13:43.232	Sad
00:13:44.065	Neutral
00:13:46.980	Sad
00:13:47.814	Neutral
00:14:40.159	Sad
00:14:40.854	Neutral
00:14:57.654	Sad
00:15:06.957	Neutral
00:15:11.678	Sad
00:15:12.372	Neutral
00:15:13.483	Sad
00:15:18.065	Unknown
00:15:19.315	Neutral
00:15:25.146	Sad
00:15:33.338	Neutral
00:15:36.393	Sad
00:15:38.892	Neutral
00:15:42.086	Sad
00:15:46.945	Neutral
00:15:49.445	Sad
00:15:50.555	Neutral
00:15:51.250	Sad
00:15:52.916	Neutral
00:15:58.192	Sad
00:16:01.247	Neutral
00:16:03.330	Sad
00:16:04.579	Neutral
00:16:08.745	Sad
00:16:09.439	Neutral
00:16:39.430	Unknown
00:16:41.929	Neutral
00:17:52.187	Disgusted
00:17:52.881	Neutral
00:17:57.185	Sad
00:18:04.128	Neutral
00:18:05.377	Sad
00:18:07.460	Neutral
00:18:08.154	Sad
00:18:08.848	Neutral
00:18:13.569	Sad
00:18:14.402	Neutral
00:20:09.924	Sad
00:20:16.450	Neutral
00:20:22.559	Sad
00:20:24.781	Neutral
00:20:27.280	Sad
00:20:30.196	Neutral
00:20:33.667	Sad
00:20:38.110	Neutral
00:20:38.805	Sad
00:20:39.638	Neutral
00:20:41.165	Sad
00:20:43.248	Neutral
00:20:53.523	Sad
00:20:54.356	Neutral
00:20:55.605	Sad
00:20:56.577	Neutral
00:21:04.631	Angry
00:21:05.602	Neutral
00:21:06.297	Sad
00:21:10.046	Neutral
00:21:23.514	Angry
00:21:24.486	Neutral
00:21:38.371	Angry
00:21:40.176	Neutral
00:21:42.814	Unknown
00:21:43.369	Neutral
00:21:45.174	Angry
00:21:48.507	Unknown
00:21:49.756	Neutral
00:21:50.450	Angry
00:21:52.811	Neutral
00:21:53.783	Angry
00:21:56.004	Sad
00:21:57.393	Neutral
00:22:04.752	Angry
00:22:05.724	Neutral
00:22:12.250	Unknown
00:22:12.805	Neutral
00:22:20.025	Angry
00:22:40.158	Neutral
00:22:40.852	Angry
00:22:58.208	Neutral
00:22:59.042	Sad
00:23:05.706	Neutral
00:23:07.511	Unknown
00:23:09.455	Neutral
00:23:11.121	Sad
00:23:13.898	Neutral
00:23:24.451	Angry
00:23:30.699	Neutral
00:23:32.782	Angry
00:23:40.280	Neutral
00:23:41.390	Angry
00:23:43.334	Neutral
00:23:44.584	Angry
00:24:01.523	Neutral
00:24:02.356	Angry
00:24:03.051	Neutral
00:24:04.856	Angry
00:24:06.938	Neutral
00:24:11.937	Sad
00:24:36.374	Neutral
00:24:37.902	Sad
00:24:38.596	Neutral
00:24:40.123	Sad
00:24:41.095	Neutral
00:24:43.317	Sad
00:24:44.844	Neutral
00:25:23.860	Sad
00:25:24.555	Neutral
00:25:37.468	Sad
00:25:39.411	Neutral
00:25:45.243	Sad
00:25:50.936	Neutral
00:25:51.769	Sad
00:25:52.463	Neutral
00:25:59.128	Sad
00:26:08.292	Neutral
00:26:11.763	Sad
00:26:13.290	Neutral
00:27:02.026	Sad
00:27:07.441	Neutral
00:28:10.340	Angry
00:28:11.728	Neutral
00:28:16.727	Angry
00:28:19.781	Neutral
00:28:22.975	Angry
00:28:24.919	Neutral
00:28:34.083	Sad
00:28:34.916	Neutral
00:28:39.081	Angry
00:28:40.470	Neutral
00:28:42.275	END
