Video analysis state log

Face Model	General
Calibration	Continuous
Start time	1/12/2023 13:23:39.361
Filename	C:\Charles-Pension\Session-11212022\29-11\PC4-29-11-2022-13-00-19.mp4
Frame rate	7.164151923

Age	Gender
20.000000000	Female


Video Time	Dominant Expression
00:00:00.000	Unknown
00:00:01.256	Neutral
00:04:22.836	Angry
00:04:23.953	Neutral
00:05:58.870	Angry
00:06:00.265	Neutral
00:11:08.606	Sad
00:11:09.583	Neutral
00:11:24.658	Sad
00:11:25.356	Neutral
00:11:27.590	Sad
00:11:28.288	Neutral
00:12:02.346	Sad
00:12:03.044	Neutral
00:13:02.227	Sad
00:13:03.344	Neutral
00:13:05.159	Sad
00:13:08.090	Neutral
00:13:08.927	Sad
00:13:09.905	Neutral
00:13:11.440	Sad
00:13:13.813	Neutral
00:13:20.932	Sad
00:13:32.238	Neutral
00:13:33.355	Sad
00:13:34.192	Neutral
00:13:35.030	Sad
00:13:35.728	Neutral
00:13:36.984	Sad
00:13:38.659	Neutral
00:13:39.915	Sad
00:13:41.590	Neutral
00:13:49.407	Sad
00:13:52.478	Neutral
00:13:54.153	Unknown
00:13:56.107	Neutral
00:13:57.084	Sad
00:13:57.782	Neutral
00:14:05.878	Sad
00:14:06.855	Neutral
00:14:08.251	Sad
00:14:11.321	Neutral
00:14:14.392	Sad
00:14:15.788	Neutral
00:14:21.511	Sad
00:14:23.884	Neutral
00:14:34.772	Sad
00:14:39.517	Neutral
00:15:20.276	Sad
00:15:20.974	Neutral
00:15:34.793	Sad
00:15:35.630	Neutral
00:15:42.051	Sad
00:15:43.028	Neutral
00:15:43.726	Sad
00:15:44.703	Neutral
00:15:58.801	Sad
00:15:59.499	Neutral
00:16:07.176	Sad
00:16:11.364	Neutral
00:16:12.062	Sad
00:16:14.295	Neutral
00:16:15.272	Sad
00:16:16.249	Neutral
00:16:21.553	Sad
00:16:22.251	Neutral
00:16:42.212	Sad
00:16:42.910	Neutral
00:16:44.026	Sad
00:16:44.724	Neutral
00:16:46.399	Sad
00:16:47.097	Neutral
00:16:52.820	Sad
00:16:53.797	Neutral
00:16:56.868	Sad
00:16:57.985	Neutral
00:16:59.101	Sad
00:17:00.637	Neutral
00:17:01.474	Sad
00:17:03.708	Neutral
00:17:05.103	Sad
00:17:05.801	Neutral
00:17:17.526	Sad
00:17:18.224	Neutral
00:17:20.876	Sad
00:17:21.853	Neutral
00:17:29.949	Sad
00:17:30.787	Neutral
00:25:38.074	Sad
00:25:46.170	Neutral
00:25:49.520	Sad
00:25:51.614	Neutral
00:25:54.405	Sad
00:25:55.382	Neutral
00:26:24.137	Sad
00:26:32.512	Neutral
00:26:46.191	Sad
00:26:47.447	Neutral
00:26:53.170	Sad
00:26:54.706	Neutral
00:26:57.358	Sad
00:26:59.312	Neutral
00:27:16.202	Sad
00:27:17.318	Neutral
00:27:34.627	Angry
00:27:35.325	Neutral
00:27:41.047	END
