Video analysis state log

Face Model	General
Calibration	Continuous
Start time	1/6/2023 23:05:46.936
Filename	C:\Charles-Pension\Session-11212022\22-11\PC3-22-11-2022-16-01-04.mp4
Frame rate	6.718255925

Age	Gender
24.000000000	Female


Video Time	Dominant Expression
00:00:00.000	Unknown
00:00:01.339	Neutral
00:05:39.224	Angry
00:05:44.136	Neutral
00:05:44.881	Angry
00:05:46.071	Neutral
00:05:47.113	Angry
00:05:52.025	Neutral
00:05:56.640	Angry
00:05:57.682	Neutral
00:07:50.360	Sad
00:07:56.462	Neutral
00:07:57.207	Sad
00:08:00.332	Neutral
00:08:12.836	Angry
00:08:14.027	Neutral
00:08:17.152	Sad
00:08:23.255	Neutral
00:08:29.656	Sad
00:08:30.549	Neutral
00:08:32.037	Sad
00:08:32.930	Neutral
00:08:51.536	Angry
00:09:02.104	Neutral
00:09:44.080	Angry
00:09:46.164	Sad
00:09:46.908	Neutral
00:10:08.788	Sad
00:10:09.533	Neutral
00:10:11.170	Sad
00:10:12.361	Neutral
00:10:13.552	Sad
00:10:14.445	Neutral
00:10:23.227	Angry
00:10:23.971	Neutral
00:10:49.126	Angry
00:10:54.187	Neutral
00:10:55.229	Angry
00:10:57.611	Neutral
00:10:58.653	Angry
00:11:03.713	Neutral
00:11:06.244	Angry
00:11:06.988	Neutral
00:11:08.774	Angry
00:11:11.454	Sad
00:11:12.347	Neutral
00:11:15.919	Sad
00:11:20.384	Neutral
00:11:25.445	Angry
00:11:26.636	Neutral
00:11:34.972	Angry
00:11:35.865	Sad
00:11:37.502	Neutral
00:11:38.395	Sad
00:11:39.139	Angry
00:11:41.521	Neutral
00:12:06.527	Sad
00:12:08.016	Neutral
00:12:09.951	Sad
00:12:10.695	Neutral
00:12:15.458	Sad
00:12:16.351	Neutral
00:12:17.542	Sad
00:12:18.435	Neutral
00:13:11.276	Unknown
00:13:11.872	Neutral
00:13:17.677	Angry
00:13:18.570	Neutral
00:13:38.516	Sad
00:14:01.140	Neutral
00:14:19.151	Sad
00:14:29.719	Neutral
00:15:07.229	Sad
00:15:08.122	Neutral
00:15:09.759	Unknown
00:15:11.248	Sad
00:15:12.141	Neutral
00:15:32.831	Angry
00:15:34.022	Neutral
00:15:40.571	Angry
00:15:41.464	Neutral
00:15:57.391	Angry
00:15:58.135	Neutral
00:16:02.452	Angry
00:16:04.089	Unknown
00:16:05.429	Neutral
00:16:16.295	Angry
00:16:26.267	Neutral
00:16:58.567	Sad
00:17:11.666	Neutral
00:17:58.404	Angry
00:17:59.744	Neutral
00:19:34.858	Sad
00:19:35.751	Angry
00:19:36.793	Neutral
00:19:56.590	Angry
00:20:02.544	Neutral
00:20:15.047	Angry
00:20:16.535	Neutral
00:20:50.919	Angry
00:20:51.664	Neutral
00:21:02.530	Sad
00:21:04.167	Neutral
00:21:07.442	Angry
00:21:17.117	Neutral
00:21:18.754	Sad
00:21:19.796	Angry
00:21:24.708	Sad
00:21:26.941	Angry
00:21:31.257	Sad
00:21:34.085	Neutral
00:21:59.092	Angry
00:22:00.283	Neutral
00:22:24.396	Sad
00:22:27.820	Neutral
00:22:31.690	Angry
00:22:33.922	Sad
00:22:55.505	Neutral
00:23:04.436	Happy
00:23:12.176	Neutral
00:23:13.218	Angry
00:23:16.791	Neutral
00:23:17.833	Sad
00:23:22.745	Neutral
00:23:39.862	Sad
00:23:41.053	Neutral
00:23:43.434	Angry
00:23:57.426	Neutral
00:23:59.957	Unknown
00:24:00.552	Neutral
00:24:01.296	Angry
00:24:03.678	Neutral
00:24:18.414	Sad
00:24:19.902	Unknown
00:24:21.242	Neutral
00:24:27.345	Sad
00:24:28.238	Neutral
00:24:30.470	Sad
00:24:31.661	Neutral
00:24:48.928	Sad
00:24:50.565	Neutral
00:24:56.221	Sad
00:24:58.007	Neutral
00:25:15.869	Sad
00:25:17.804	Neutral
00:25:19.739	Sad
00:25:22.270	Neutral
00:25:23.609	Sad
00:25:27.926	Neutral
00:25:28.968	Sad
00:25:34.922	Neutral
00:25:35.964	Sad
00:25:40.131	Neutral
00:25:48.169	Sad
00:25:51.295	Neutral
00:25:52.486	Sad
00:25:56.654	Neutral
00:26:07.222	Sad
00:26:08.264	Neutral
00:26:25.530	Happy
00:26:32.079	Neutral
00:26:50.983	Sad
00:26:52.174	Neutral
00:26:56.044	Sad
00:26:57.532	Neutral
00:26:58.425	Sad
00:26:59.765	Neutral
00:27:01.998	Sad
00:27:05.124	Neutral
00:27:08.249	Sad
00:27:11.524	Neutral
00:27:28.939	Unknown
00:27:33.851	Neutral
00:27:38.317	Happy
00:27:40.103	Neutral
00:27:45.908	Sad
00:27:48.736	Neutral
00:27:49.629	Sad
00:27:50.671	Neutral
00:27:53.350	Sad
00:27:54.690	Neutral
00:28:15.827	END
