Video analysis state log

Face Model	General
Calibration	Continuous
Start time	1/12/2023 11:37:27.530
Filename	C:\Charles-Pension\Session-11212022\28-11\PC4-28-11-2022-16-01-48.mp4
Frame rate	7.198156507

Age	Gender
30.000000000	Female


Video Time	Dominant Expression
00:00:00.000	Unknown
00:00:01.250	Neutral
00:04:40.349	Angry
00:04:41.183	Neutral
00:04:51.324	Angry
00:04:52.158	Neutral
00:05:58.286	Sad
00:05:58.980	Neutral
00:06:08.288	Sad
00:06:08.983	Neutral
00:07:14.277	Sad
00:07:14.972	Neutral
00:08:46.523	Angry
00:08:47.218	Neutral
00:08:53.608	Angry
00:08:54.442	Neutral
00:13:26.178	Angry
00:13:26.873	Neutral
00:14:31.889	Angry
00:14:33.001	Neutral
00:14:34.529	Angry
00:14:38.697	Neutral
00:14:51.200	Angry
00:14:53.839	Neutral
00:15:29.404	Angry
00:15:30.793	Neutral
00:15:31.766	Angry
00:15:32.738	Neutral
00:15:44.686	Angry
00:15:45.519	Neutral
00:15:46.631	Angry
00:15:50.937	Neutral
00:15:52.466	Angry
00:15:54.411	Neutral
00:16:27.891	Angry
00:16:31.087	Neutral
00:16:32.198	Angry
00:16:34.699	Neutral
00:16:43.868	Angry
00:16:45.674	Neutral
00:17:23.183	Angry
00:17:24.573	Neutral
00:17:28.185	Angry
00:17:29.435	Neutral
00:18:57.235	Angry
00:18:58.902	Neutral
00:20:21.979	Disgusted
00:20:22.952	Neutral
00:21:10.603	Happy
00:21:11.714	Neutral
00:21:36.581	Surprised
00:21:37.554	Neutral
00:22:35.485	Angry
00:22:37.291	Neutral
00:22:43.821	Angry
00:22:50.628	Neutral
00:22:53.546	Angry
00:22:56.185	Neutral
00:22:57.297	Angry
00:23:02.159	Neutral
00:23:23.692	Angry
00:23:25.359	Neutral
00:23:26.610	Angry
00:23:27.860	Neutral
00:23:52.311	Happy
00:23:53.283	Neutral
00:25:49.980	Angry
00:25:52.480	Neutral
00:26:23.599	Angry
00:26:24.294	Neutral
00:26:34.713	Angry
00:26:36.797	Neutral
00:26:55.691	Angry
00:26:58.053	Unknown
00:26:58.608	Angry
00:26:59.859	Neutral
00:27:03.610	Angry
00:27:04.999	Neutral
00:29:03.640	Sad
00:29:04.613	Neutral
00:31:24.371	Surprised
00:31:26.455	Neutral
00:31:32.706	Surprised
00:31:33.818	Neutral
00:31:47.988	Surprised
00:31:49.099	Neutral
00:32:23.831	Angry
00:32:24.525	Neutral
00:32:53.421	Angry
00:33:28.430	Neutral
00:33:29.125	Angry
00:35:52.495	Neutral
00:35:53.190	Angry
00:36:15.418	Neutral
00:36:20.836	Angry
00:36:25.976	Neutral
00:36:30.838	Angry
00:37:10.293	Neutral
00:37:11.682	Angry
00:37:12.516	Neutral
00:37:19.184	Angry
00:37:21.129	Neutral
00:37:22.518	Angry
00:37:27.380	Neutral
00:37:29.742	Angry
00:37:32.521	Neutral
00:37:33.493	Angry
00:37:54.888	Neutral
00:37:57.666	Unknown
00:38:00.167	Neutral
00:38:01.834	Unknown
00:38:08.780	Neutral
00:38:09.752	Unknown
00:38:12.948	Neutral
00:38:14.615	END
