Video analysis state log

Face Model	General
Calibration	Continuous
Start time	1/12/2023 03:03:40.802
Filename	C:\Charles-Pension\Session-11212022\24-11\PC2-24-11-2022-15-36-14.mp4
Frame rate	7.184322112

Age	Gender
27.000000000	Female


Video Time	Dominant Expression
00:00:00.000	Unknown
00:00:01.252	Neutral
00:00:55.676	Sad
00:00:56.372	Neutral
00:01:35.764	Sad
00:01:36.599	Neutral
00:02:58.304	Sad
00:02:59.000	Neutral
00:03:02.341	Sad
00:03:03.037	Neutral
00:03:15.564	Sad
00:03:17.652	Neutral
00:03:25.029	Sad
00:03:37.139	Neutral
00:04:07.761	Sad
00:04:08.736	Neutral
00:04:09.432	Sad
00:04:14.999	Neutral
00:04:16.809	Sad
00:04:21.263	Neutral
00:04:22.516	Angry
00:04:24.325	Neutral
00:04:28.779	Angry
00:04:30.728	Neutral
00:04:31.702	Sad
00:04:33.373	Neutral
00:04:49.240	Angry
00:04:50.215	Neutral
00:04:54.530	Sad
00:04:56.757	Neutral
00:05:12.764	Sad
00:05:14.713	Neutral
00:05:20.976	Sad
00:05:26.126	Neutral
00:05:34.756	Sad
00:05:35.731	Neutral
00:05:56.470	Sad
00:05:57.584	Neutral
00:06:12.477	Sad
00:06:30.851	Neutral
00:06:45.605	Sad
00:06:46.301	Neutral
00:06:50.894	Sad
00:06:58.132	Neutral
00:06:58.967	Sad
00:07:02.169	Neutral
00:07:02.865	Sad
00:07:05.927	Neutral
00:07:10.242	Sad
00:07:10.938	Neutral
00:07:12.469	Sad
00:07:13.583	Neutral
00:07:18.176	Sad
00:07:25.135	Neutral
00:07:27.780	Sad
00:07:51.025	Neutral
00:07:52.278	Sad
00:07:57.567	Neutral
00:07:58.542	Sad
00:07:59.516	Neutral
00:08:00.629	Sad
00:08:01.465	Neutral
00:08:02.439	Sad
00:08:21.787	Neutral
00:08:23.457	Sad
00:08:30.138	Neutral
00:08:32.365	Sad
00:08:35.845	Neutral
00:08:39.186	Sad
00:08:40.995	Neutral
00:08:46.145	Sad
00:08:48.233	Neutral
00:08:52.270	Sad
00:08:53.662	Neutral
00:08:55.332	Angry
00:08:56.724	Neutral
00:08:58.951	Angry
00:09:03.266	Neutral
00:09:16.628	Sad
00:09:18.159	Neutral
00:09:39.595	Sad
00:09:40.708	Neutral
00:09:53.236	Sad
00:09:53.932	Neutral
00:10:17.873	Angry
00:10:18.986	Neutral
00:10:32.766	Angry
00:10:33.462	Neutral
00:10:36.942	Sad
00:10:39.169	Neutral
00:10:43.484	Sad
00:11:09.374	Neutral
00:11:16.194	Sad
00:11:17.725	Neutral
00:11:31.784	Angry
00:11:32.619	Neutral
00:12:01.571	Angry
00:12:02.406	Neutral
00:12:04.911	Sad
00:12:13.959	Unknown
00:12:15.490	Neutral
00:12:25.233	Angry
00:12:25.929	Neutral
00:12:29.548	Sad
00:12:31.219	Neutral
00:12:33.306	Sad
00:12:34.698	Neutral
00:12:35.812	Sad
00:12:37.065	Neutral
00:12:39.153	Sad
00:12:43.885	Neutral
00:12:45.834	Sad
00:12:48.618	Neutral
00:12:50.566	Sad
00:12:51.819	Neutral
00:13:06.852	Sad
00:13:07.687	Neutral
00:14:07.679	Sad
00:14:08.931	Neutral
00:14:34.821	Sad
00:14:36.631	Neutral
00:14:42.337	Sad
00:14:43.312	Neutral
00:14:55.700	Angry
00:14:56.813	Neutral
00:15:04.051	Sad
00:15:05.722	Neutral
00:15:39.824	Sad
00:15:42.329	Neutral
00:15:48.454	Sad
00:15:49.706	Neutral
00:16:08.636	Sad
00:16:11.142	Neutral
00:16:44.270	Sad
00:16:46.079	Neutral
00:17:00.138	Sad
00:17:00.973	Neutral
00:17:05.148	Sad
00:17:09.603	Neutral
00:17:12.108	Sad
00:17:13.361	Neutral
00:17:18.372	Sad
00:17:19.764	Neutral
00:17:28.393	Sad
00:17:29.785	Neutral
00:17:37.023	Sad
00:17:38.276	Neutral
00:18:00.547	Happy
00:18:01.521	Neutral
00:18:14.605	Sad
00:18:15.301	Neutral
00:18:28.524	Sad
00:18:37.433	Neutral
00:18:38.129	Sad
00:18:40.495	Neutral
00:19:10.143	Sad
00:19:12.370	Neutral
00:19:16.267	Sad
00:19:17.242	Neutral
00:19:18.216	Sad
00:19:19.608	Neutral
00:19:22.670	Sad
00:19:24.758	Neutral
00:23:25.560	Angry
00:23:31.545	Neutral
00:23:43.377	Sad
00:23:44.212	Neutral
00:23:50.475	Angry
00:23:52.007	Neutral
00:23:53.538	Happy
00:23:55.069	Neutral
00:24:16.783	Sad
00:24:21.794	Neutral
00:24:48.658	Angry
00:24:49.632	Neutral
00:24:51.024	Angry
00:24:52.137	Neutral
00:24:53.669	Angry
00:24:56.174	Neutral
00:24:57.288	Angry
00:24:58.540	Neutral
00:25:01.603	Angry
00:25:03.830	Neutral
00:25:05.222	Angry
00:25:05.918	Neutral
00:25:10.232	Angry
00:25:13.573	Unknown
00:25:16.218	Happy
00:25:18.166	Neutral
00:25:19.002	Sad
00:25:22.760	Angry
00:25:24.291	Neutral
00:25:33.756	END
