"Created date","Updated date","userid","cmvideoplay_invsinafp.p2","volverinicio_contestar.p2","volverinicio_invconafp.p2","bcontestaryn_inicio.p2","rsh_pgusinafp.p2","volveratras_ps.p2","videoplay_cm.p2","bleaesto_masinfo.p2","cm_inicio.p2","cu_masinfo.p2","videopausa_cm.p2","rsh_pguconafp.p2","ejpgu_pguconafp.p2","ps_inicio.p2","ci_invsinafp.p2","cm_instrucciones.p2","ejpgu_masinfo.p2","pguconafp_inicio.p2","volveratras_cu.p2","rsh_inicio.p2","volverinicio_pgusinafp.p2","cm_contestar.p2","bcontestaryn_masinfo.p2","cmvideoplay_pgusinafp.p2","volveratras_ci.p2","psvideoplay_pgusinafp.p2","volveratras_rsh.p2","ps_instrucciones.p2","volverinicio_instrucciones.p2","volverinicio_pgusconafp.p2","rsh_masinfo.p2","psvideoplay_pguconafp.p2","bleaesto_inicio.p2","psvideopausa_invsinafp.p2","ci_inicio.p2","ci_masinfo.p2","cm_masinfo.p2","cmvideopausa_pguconafp.p2","volveratras_masinfo.p2","cu_inicio.p2","volverinicio_clickaqui.p2","ps_masinfo.p2","volveratras_cm.p2","ps_contestar.p2","cmvideoplay_pguconafp.p2","cu_pgusinafp.p2","invsinafp_inicio.p2","volverinicio_invsinafp.p2","pgusinafp_inicio.p2","y_contestar.p2","cmvideopausa_invsinafp.p2","cmvideopausa_pgusinafp.p2","ejpgu_inicio.p2","n_contestar.p2","ci_invconafp.p2","invconafp_inicio.p2","rsh_invconafp.p2","rsh_invsinafp.p2","volveratras_clickaqui.p2","psvideopausa_pgusinafp.p2","videoplay_ps.p2","videopausa_ps.p2","inicio_wix.p2","psvideopausa_pguconafp.p2","psvideoplay_invconafp.p2","cmvideoplay_invconfp.p2","psvideoplay_invsinafp.p2","psvideopausa_invconafp.p2","cmvideopausa_invconafp.p2"
2022-07-29T14:31:47Z,2022-07-29T14:50:24Z,"2873-2-2-55-0",,,,"2022-07-29 10:50:01",,"2022-06-29 10:49:57","2022-06-29 10:41:36 ; 2022-06-29 10:44:52",,"2022-07-29 10:41:31",,,,,"2022-07-29 10:45:59",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-29 10:45:53",,,,,,,"2022-06-29 10:50:21",,,,,,,,,,,"2022-06-29 10:46:03","2022-06-29 10:49:55","2022-07-29 10:31:44 ; 2022-07-29 10:40:32 ; 2022-07-29 10:41:00 ; 2022-07-29 10:41:27 ; 2022-07-29 10:45:54 ; 2022-07-29 10:49:58",,,,,,
2022-07-29T16:41:23Z,2022-07-29T16:55:26Z,"8718-1-2-54-0",,,,,,"2022-06-29 12:52:07","2022-06-29 12:41:32",,"2022-07-29 12:41:25",,"2022-06-29 12:45:43",,,"2022-07-29 12:48:01",,,,,,,"2022-06-29 12:53:13",,,"2022-06-29 12:52:32",,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 12:52:26",,,,,,,"2022-07-29 12:53:25",,,,,"2022-06-29 12:48:09","2022-06-29 12:52:01","2022-07-29 12:41:18 ; 2022-07-29 12:47:46 ; 2022-07-29 12:52:08 ; 2022-07-29 12:53:15",,,"2022-06-29 12:53:30",,,"2022-06-29 12:55:20 ; 2022-06-29 12:55:21"
2022-07-29T17:58:49Z,2022-07-29T18:02:50Z,"8261-1-2-57-0",,,,"2022-07-29 14:03:21",,,,,,,,,,,,,,,,,,,,"2022-06-29 14:00:02",,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 13:59:49","2022-06-29 14:03:37",,,,,,,,,,,,,"2022-07-29 13:59:36 ; 2022-07-29 14:03:10",,,,,,
2022-07-29T22:56:59Z,2022-07-29T23:07:27Z,"7237-2-2-64-0",,,,"2022-07-29 19:05:36",,"2022-07-29 19:04:10","2022-07-29 18:55:46",,"2022-07-29 18:55:40",,,,,"2022-07-29 19:00:19",,,,,,,"2022-07-29 19:05:13",,,"2022-07-29 19:04:31",,,,,,,,,,,,,,,,,,,"2022-07-29 18:59:59",,,,,,"2022-07-29 19:04:16","2022-07-29 19:06:00",,,,,,,,,,,"2022-07-29 19:00:24 ; 2022-07-29 19:01:57",,"2022-07-29 18:55:32 ; 2022-07-29 19:00:01 ; 2022-07-29 19:04:12 ; 2022-07-29 19:05:14",,,,,,
2022-08-01T00:44:11Z,2022-08-01T00:45:57Z,"1803-2-2-55-0",,,,"2022-07-31 20:45:46",,,,,,,,,,,,,,,,,,,,,,,"2022-07-31 20:45:37",,,,,,,,,,,,,,,,,,,,,,,"2022-07-31 20:45:57",,,,,,,,,,,,,"2022-07-31 20:44:11 ; 2022-07-31 20:45:38",,,,,,
2022-07-30T02:30:47Z,2022-07-30T03:27:26Z,"4728-2-2-75-0",,,,"2022-07-29 22:41:49",,"2022-07-29 22:39:42","2022-07-29 22:31:29",,"2022-07-29 22:31:19",,,,,"2022-07-29 22:35:50",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 22:35:35",,,,,,,"2022-07-29 22:42:15 ; 2022-07-29 23:26:49",,,,,,,,,,,"2022-07-29 22:35:54",,"2022-07-29 22:30:46 ; 2022-07-29 22:35:36 ; 2022-07-29 22:39:42 ; 2022-07-29 23:27:21 ; 2022-07-29 23:27:25",,,,,,
2022-07-29T22:19:51Z,2022-07-29T22:31:01Z,"6096-1-2-57-0",,,,"2022-07-29 18:30:43",,"2022-07-29 18:28:54","2022-07-29 18:20:44",,"2022-07-29 18:20:40",,,,,"2022-07-29 18:25:00",,,,,,"2022-07-29 18:30:12",,,,"2022-07-29 18:29:22",,,,,,,,,"2022-07-29 18:19:52",,,,,,,,,,,,,,,,"2022-07-29 18:29:18","2022-07-29 18:31:00",,,,,,,,,,,"2022-07-29 18:25:04",,"2022-07-29 18:19:50 ; 2022-07-29 18:20:30 ; 2022-07-29 18:24:56 ; 2022-07-29 18:28:55 ; 2022-07-29 18:29:16 ; 2022-07-29 18:30:05 ; 2022-07-29 18:30:38",,,,,,
2022-07-29T14:17:27Z,2022-07-29T14:26:49Z,"6254-2-2-52-0",,,,"2022-07-29 10:26:34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 10:17:34",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 10:17:26 ; 2022-07-29 10:25:44 ; 2022-07-29 10:26:48",,,,,,
2022-07-30T03:53:19Z,2022-07-30T03:53:30Z,"1274-1-2-63-0",,,,"2022-07-29 23:53:26",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 23:53:30",,,,,,,,,,,,,"2022-07-29 23:53:19",,,,,,
2022-07-28T18:19:39Z,2022-07-28T18:36:53Z,"2369-2-2-61-0",,,,"2022-06-28 14:36:41",,"2022-06-28 14:28:18","2022-06-28 14:20:11",,"2022-06-28 14:20:08",,,,,"2022-06-28 14:24:24",,,,,,,"2022-06-28 14:36:34",,,"2022-06-28 14:28:31",,"2022-06-28 14:32:47",,,,,,,"2022-06-28 14:19:38",,,,,,,,"2022-06-28 14:20:02",,"2022-06-28 14:24:18",,,,,,"2022-06-28 14:28:26","2022-06-28 14:36:53",,"2022-06-28 14:32:42",,,,,,,,,"2022-06-28 14:24:28",,"2022-06-28 14:36:39",,,,,,
2022-07-27T22:19:05Z,2022-07-27T22:19:46Z,"9442-1-2-65-0",,,,"2022-06-27 18:19:11",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-27 18:19:46",,,,,,,,,,,,,"2022-06-27 18:19:06",,,,,,
2022-08-01T13:16:33Z,2022-08-01T13:22:36Z,"1861-1-2-51-0",,,,"2022-08-01 09:22:17",,,"2022-08-01 09:16:47",,"2022-08-01 09:16:42",,"2022-08-01 09:20:58",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-01 09:21:24",,,,,,"2022-08-01 09:21:35","2022-08-01 09:22:37",,,,,,,,,,,,,"2022-08-01 09:16:34 ; 2022-08-01 09:21:25 ; 2022-08-01 09:22:04",,,,,,
2022-08-01T13:20:08Z,2022-08-01T13:32:19Z,"4499-1-2-63-0",,,,"2022-08-01 09:31:24",,"2022-08-01 09:29:27 ; 2022-08-01 09:30:50","2022-08-01 09:21:10 ; 2022-08-01 09:31:48",,"2022-08-01 09:21:02",,,,,"2022-08-01 09:25:34 ; 2022-08-01 09:29:48",,,,,,,,"2022-08-01 09:31:45",,,,,,,,,,,"2022-08-01 09:20:10",,,,,,,,"2022-08-01 09:20:46",,"2022-08-01 09:25:19 ; 2022-08-01 09:32:10",,,,,,,"2022-08-01 09:32:17",,,,,,,,,,,"2022-08-01 09:25:38 ; 2022-08-01 09:29:54",,"2022-08-01 09:20:07 ; 2022-08-01 09:20:47 ; 2022-08-01 09:25:21 ; 2022-08-01 09:29:28 ; 2022-08-01 09:30:51",,,,,,
2022-07-29T14:05:19Z,2022-07-29T14:20:01Z,"2718-2-2-63-0",,,,"2022-07-29 10:16:24",,,,,,,,,,"2022-07-29 10:06:15",,,,,,"2022-07-29 10:13:41",,,,,,,,,,,,,"2022-07-29 10:05:23",,,,,,,,,,,,,,,,"2022-07-29 10:10:55","2022-06-29 10:16:38 ; 2022-06-29 10:19:59",,,"2022-07-29 10:12:00",,,,,,,,"2022-06-29 10:06:19",,"2022-07-29 10:05:17 ; 2022-07-29 10:05:43 ; 2022-07-29 10:10:09 ; 2022-07-29 10:13:34 ; 2022-07-29 10:16:14",,,,,,
2022-07-29T13:36:34Z,2022-07-29T13:53:21Z,"9042-1-2-59-0",,,,"2022-07-29 09:53:13",,,"2022-06-29 09:36:54 ; 2022-06-29 09:36:56 ; 2022-06-29 09:37:00 ; 2022-06-29 09:37:18 ; 2022-06-29 09:38:26 ; 2022-06-29 09:38:31 ; 2022-06-29 09:44:02",,"2022-07-29 09:36:50 ; 2022-07-29 09:38:24 ; 2022-07-29 09:44:00",,"2022-06-29 09:38:30 ; 2022-06-29 09:38:32",,,"2022-07-29 09:42:50 ; 2022-07-29 09:44:33",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 09:52:44","2022-06-29 09:53:20",,,,,,,,,,,"2022-06-29 09:43:03 ; 2022-06-29 09:43:06 ; 2022-06-29 09:43:10 ; 2022-06-29 09:43:16 ; 2022-06-29 09:43:27 ; 2022-06-29 09:44:37 ; 2022-06-29 09:49:04 ; 2022-06-29 09:49:03","2022-06-29 09:49:00 ; 2022-06-29 09:49:03","2022-07-29 09:36:33 ; 2022-07-29 09:36:44 ; 2022-07-29 09:37:45 ; 2022-07-29 09:42:44 ; 2022-07-29 09:43:47 ; 2022-07-29 09:43:58 ; 2022-07-29 09:44:26",,,,,,
2022-07-29T04:05:20Z,2022-07-29T04:10:22Z,"6331-2-2-51-0",,"2022-06-29 00:07:45",,"2022-07-29 00:05:26 ; 2022-07-29 00:09:18 ; 2022-07-29 00:09:37",,,"2022-06-29 00:09:50 ; 2022-06-29 00:09:52 ; 2022-06-29 00:09:57 ; 2022-06-29 00:10:00 ; 2022-06-29 00:10:07",,"2022-07-29 00:09:02 ; 2022-07-29 00:09:47",,,,,,,,,,"2022-06-29 00:08:56 ; 2022-06-29 00:09:41",,,,,,,,,,,,,,,,,,,,,"2022-07-29 00:08:43",,,"2022-06-29 00:10:20",,,,,,,"2022-06-29 00:05:36 ; 2022-06-29 00:09:24",,,"2022-07-29 00:08:09",,,,,,,,,,"2022-07-29 00:05:19 ; 2022-07-29 00:07:46 ; 2022-07-29 00:08:28 ; 2022-07-29 00:08:57 ; 2022-07-29 00:08:59 ; 2022-07-29 00:09:08 ; 2022-07-29 00:09:42 ; 2022-07-29 00:10:21",,,,,,
2022-07-31T20:47:08Z,2022-07-31T21:02:30Z,"7493-2-2-55-0",,,,"2022-07-31 17:02:20",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-31 17:02:29",,,,,,,,,,,,,"2022-07-31 16:47:07 ; 2022-07-31 16:53:15",,,,,,
2022-07-29T14:52:00Z,2022-07-29T14:57:13Z,"6001-2-2-59-0",,,,,,,"2022-06-29 10:54:57",,"2022-07-29 10:54:52",,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 10:53:55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 10:53:51 ; 2022-07-29 10:54:41 ; 2022-07-29 10:59:04",,,,,,
2022-07-28T20:09:41Z,2022-07-28T20:14:39Z,"4755-2-2-54-0",,,,"2022-06-28 16:14:32",,,"2022-06-28 16:10:08",,"2022-06-28 16:09:58",,,,,,,,,,,,,,,,,,,,"2022-06-28 16:09:39",,,,,,,,,,,,,,"2022-06-28 16:14:15",,,,,,,"2022-06-28 16:14:37",,,,,,,,,,,,,"2022-06-28 16:14:30",,,,,,
2022-07-29T16:28:25Z,2022-07-29T16:32:19Z,"196-1-2-56-0",,,,,,,,,,,,,,"2022-07-29 12:29:24",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-29 12:29:27",,"2022-07-29 12:28:24 ; 2022-07-29 12:29:21 ; 2022-07-29 12:32:18",,,"2022-06-29 12:28:55",,,
2022-07-29T16:02:15Z,2022-07-29T16:03:06Z,"1615-2-2-61-0",,,,"2022-07-29 12:02:37",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-29 12:03:04",,,,,,,,,,,,,"2022-07-29 12:02:14 ; 2022-07-29 12:02:23 ; 2022-07-29 12:02:27",,,,,,
2022-07-30T01:16:00Z,2022-07-30T01:38:37Z,"4240-2-2-52-0",,,,"2022-07-29 21:20:40",,,"2022-07-29 21:16:01",,"2022-07-29 21:15:57",,"2022-07-29 21:20:12",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 21:20:17",,,,,,,"2022-07-29 21:20:52",,,,,,,,,,,,,"2022-07-29 21:15:52 ; 2022-07-29 21:20:18 ; 2022-07-29 21:38:22 ; 2022-07-29 21:38:28",,,,,,
