"Created date","Updated date","userid","cmvideoplay_invsinafp.p2","volverinicio_contestar.p2","volverinicio_invconafp.p2","bcontestaryn_inicio.p2","rsh_pgusinafp.p2","volveratras_ps.p2","videoplay_cm.p2","bleaesto_masinfo.p2","cm_inicio.p2","cu_masinfo.p2","videopausa_cm.p2","rsh_pguconafp.p2","ejpgu_pguconafp.p2","ps_inicio.p2","ci_invsinafp.p2","cm_instrucciones.p2","ejpgu_masinfo.p2","pguconafp_inicio.p2","volveratras_cu.p2","rsh_inicio.p2","volverinicio_pgusinafp.p2","cm_contestar.p2","bcontestaryn_masinfo.p2","cmvideoplay_pgusinafp.p2","volveratras_ci.p2","psvideoplay_pgusinafp.p2","volveratras_rsh.p2","ps_instrucciones.p2","volverinicio_instrucciones.p2","volverinicio_pgusconafp.p2","rsh_masinfo.p2","psvideoplay_pguconafp.p2","bleaesto_inicio.p2","psvideopausa_invsinafp.p2","ci_inicio.p2","ci_masinfo.p2","cm_masinfo.p2","cmvideopausa_pguconafp.p2","volveratras_masinfo.p2","cu_inicio.p2","volverinicio_clickaqui.p2","ps_masinfo.p2","volveratras_cm.p2","ps_contestar.p2","cmvideoplay_pguconafp.p2","cu_pgusinafp.p2","invsinafp_inicio.p2","volverinicio_invsinafp.p2","pgusinafp_inicio.p2","y_contestar.p2","cmvideopausa_invsinafp.p2","cmvideopausa_pgusinafp.p2","ejpgu_inicio.p2","n_contestar.p2","ci_invconafp.p2","invconafp_inicio.p2","rsh_invconafp.p2","rsh_invsinafp.p2","volveratras_clickaqui.p2","psvideopausa_pgusinafp.p2","videoplay_ps.p2","videopausa_ps.p2","inicio_wix.p2","psvideopausa_pguconafp.p2","psvideoplay_invconafp.p2","cmvideoplay_invconfp.p2","psvideoplay_invsinafp.p2","psvideopausa_invconafp.p2","cmvideopausa_invconafp.p2"
2022-07-31T00:55:17Z,2022-07-31T00:57:14Z,"9739-2-2-54-0",,,,"2022-07-30 20:56:49",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-30 20:55:28",,,,,,,,,,,,,,,,,"2022-07-30 20:57:13",,,,,,,,,,,,,"2022-07-30 20:55:16 ; 2022-07-30 20:55:22 ; 2022-07-30 20:56:01",,,,,,
2022-07-29T19:54:14Z,2022-07-29T19:54:58Z,"9170-1-2-60-0",,,,"2022-07-29 15:54:51",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-29 15:54:57",,,,,,,,,,,,,"2022-07-29 15:54:13 ; 2022-07-29 15:54:31",,,,,,
2022-07-27T20:28:16Z,2022-07-27T20:40:05Z,"2542-2-2-54-0",,,,"2022-06-27 16:39:43",,"2022-06-27 16:37:35","2022-06-27 16:29:00",,"2022-06-27 16:28:53",,,,,"2022-06-27 16:33:36",,,,"2022-06-27 16:38:32",,,"2022-06-27 16:38:27",,,,,,,,,"2022-06-27 16:39:23",,,"2022-06-27 16:28:13",,,,,,,,"2022-06-27 16:28:39",,"2022-06-27 16:33:08",,,,,,"2022-06-27 16:37:51","2022-06-27 16:40:03",,,,,,,,,,,"2022-06-27 16:33:47",,"2022-06-27 16:39:41",,,,,,
2022-07-30T13:11:38Z,2022-07-30T13:11:50Z,"8228-2-2-54-0",,,,"2022-07-30 09:11:43",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-30 09:11:48",,,,,,,,,,,,,"2022-07-30 09:11:36",,,,,,
2022-07-29T15:05:51Z,2022-07-29T15:08:55Z,"8187-1-2-59-0",,,,"2022-07-29 11:08:55",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 11:06:26",,,,,,,,"2022-06-29 11:06:46",,,,,,,,,,,,,,,,,,,,,,"2022-07-29 11:05:51 ; 2022-07-29 11:06:20 ; 2022-07-29 11:06:47",,,,,,
2022-07-29T16:40:08Z,2022-07-29T16:40:37Z,"4626-2-2-55-0",,,,"2022-07-29 12:40:29",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-29 12:40:36",,,,,,,,,,,,,"2022-07-29 12:40:06",,,,,,
2022-08-01T18:01:27Z,2022-08-01T18:46:58Z,"6665-1-2-60-0",,,,"2022-08-01 14:46:50",,"2022-08-01 14:46:11","2022-08-01 14:02:10",,,,"2022-08-01 14:06:21",,,,,"2022-08-01 14:02:07",,,,,,,,,,,,"2022-08-01 14:10:11","2022-08-01 14:46:34",,,,,,,,,,,,,,"2022-08-01 14:10:08",,,,,,,"2022-08-01 14:46:59",,,,,,,,,,,"2022-08-01 14:10:15","2022-08-01 14:14:07","2022-08-01 14:01:28 ; 2022-08-01 14:46:35",,,,,,
2022-07-29T14:55:54Z,2022-07-29T14:56:05Z,"4437-2-2-60-0",,,,"2022-07-29 10:56:03",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 10:55:52",,,,,,
2022-07-28T06:10:56Z,2022-07-28T06:20:05Z,"9037-2-2-55-0",,,,"2022-06-28 02:19:46",,,"2022-06-28 02:12:10",,"2022-06-28 02:11:42",,"2022-06-28 02:11:47 ; 2022-06-28 02:16:20",,,,,,,,,,"2022-06-28 02:18:34",,,,,,,,,,,,"2022-06-28 02:10:55",,,,,,,,,,"2022-06-28 02:16:21",,,,,,"2022-06-28 02:17:20","2022-06-28 02:20:04",,,,,,,,,,,,,"2022-06-28 02:19:38",,,,,,
2022-07-29T20:30:04Z,2022-07-29T20:40:06Z,"1096-2-2-55-0",,,,"2022-07-29 16:39:53",,,,,,,,,,,,,,,,,"2022-06-29 16:39:42",,,"2022-06-29 16:35:33",,"2022-06-29 16:31:40",,,,,,,"2022-07-29 16:30:07",,,,,,,,"2022-06-29 16:30:29",,,,,,,,"2022-07-29 16:30:47","2022-06-29 16:40:04",,,,,,,,,,"2022-06-29 16:35:32",,,"2022-07-29 16:30:03 ; 2022-07-29 16:30:31 ; 2022-07-29 16:39:44",,,,,,
