"Created date","Updated date","userid","perfil4_inicio.p6","y_contestar.p6","perfil2_inicio.p6","bcontestaryn_inicio.p6","perfil3_inicio.p6","perfil1_inicio.p6","volverinicio_saludable.p6","video_ps.p6","volveratras_ps.p6","n_contestar.p6","cm_contestar.p6","volverinicio_contestar.p6","videopausa_ps.p6","videoplay_ps.p6","volveratras_clickaqui.p6","volverinicio_masinfo.p4","leaesto_inicio.p6","bcontestaryn_masinfo.p4","cm_instrucciones.p6","ps_instrucciones.p6","volveratras_cm.p6","volverinicio_novoyavivir.p6","volverinicio_heahorrado.p6","volverinicio_sinsalud.p6","cm_masinfo.p4","volveratras_difmodmix.p6","ps_masinfo.p4","difmodmix_masinfo.p4","pg_masinfo.p4","gf_masinfo.p4","volveratras_ctiempo.p6","volveratras_gf.p6","ctiempo_masinfo.p4","volveratras_pg.p6","gf_novoyavivir.p6","difmodmix_heahorrado.p6","ctiempo_novoyavivir.p6","gf_sinsalud.p6","gf_heahorrado.p6","ctiempo_sinsalud.p6","gf_saludable.p6","pg_saludable.p6","gf_clickaqui.p6","cm_clickaqui.p6","psvideopausa_novoyavivir.p6","volverinicio_clickaqui.p6","cmvideoplay_saludable.p6","cmvideoplay_novoyavivir.p6","psvideoplay_novoyavivir.p6","cmvideopausa_novoyavivir.p6","videoplay_cm.p6","psvideopausa_saludable.p6","volverinicio_instrucciones.p6","videopausa_cm.p6","cmvideopausa_saludable.p6","psvideoplay_saludable.p6","cmvideoplay_heahorrado.p6","psvideopausa_heahorrado.p6","cmvideopausa_heahorrado.p6","psvideoplay_heahorrado.p6","inicio_wix.p6","bleaesto_masinfo.p4","psvideoplay_sinsalud.p6","ps_contestar.p6","psvideopausa_sinsalud.p6","volverinicio_masinfo.p6","bleaesto_masinfo.p6","bcontestaryn_masinfo.p6","difmodmix_masinfo.p6","ctiempo_masinfo.p6","bcontestaryn_saludable.p6","bcontestaryn_heahorrado.p6","bcontestaryn_novoyavivir.p6","bcontestaryn_sinsalud.p6","ps_masinfo.p6","cmvideoplay_sinsalud.p6","cmvideopausa_sinsalud.p6","cm_masinfo.p6"
2022-08-02T01:18:52Z,2022-08-02T01:19:45Z,"2292-2-6-60-0",,"2022-08-01 21:01:29",,"2022-08-01 21:01:14",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-01 21:00:35",,,,,,,,,,,,,,,,,
2022-07-29T15:50:27Z,2022-07-29T15:51:32Z,"2742-1-6-54-0",,,,,,"2022-07-29 11:50:46",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 11:50:26 ; 2022-07-29 11:50:37 ; 2022-07-29 11:50:44",,,,,,,,,,"2022-06-29 11:51:31",,,,,,,
2022-07-29T23:10:32Z,2022-07-29T23:11:53Z,"7100-1-6-59-0",,,"2022-07-29 19:10:57","2022-07-29 19:11:54",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 19:10:32 ; 2022-07-29 19:10:55 ; 2022-07-29 19:11:48",,,,,,,,,,,,,,,,,
2022-07-30T21:00:21Z,2022-07-30T21:01:23Z,"5604-1-6-63-0",,,,"2022-07-30 17:01:22",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-30 17:00:20",,,,,,,,,,,,,,,,,
2022-07-28T18:43:33Z,2022-07-28T19:22:08Z,"4788-1-6-56-0",,"2022-06-28 15:03:22",,,,"2022-06-28 14:44:36",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-28 14:45:24 ; 2022-06-28 14:54:14 ; 2022-06-28 14:54:17 ; 2022-06-28 14:54:19 ; 2022-06-28 14:54:26",,,,,"2022-06-28 15:02:47","2022-06-28 14:44:33",,"2022-06-28 14:52:05 ; 2022-06-28 14:57:51","2022-06-28 14:57:48",,,,,"2022-06-28 14:43:32 ; 2022-06-28 15:22:08",,,,,,,,,,"2022-06-28 15:03:14",,,,,,,
2022-07-29T13:53:01Z,2022-07-29T14:25:25Z,"9748-1-6-64-0","2022-07-29 09:54:08","2022-06-29 10:25:40",,,,,,,,,,,,,,,"2022-07-29 09:53:28",,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-29 10:07:58","2022-06-29 09:53:52",,"2022-06-29 09:54:17 ; 2022-06-29 10:02:28","2022-06-29 10:07:49 ; 2022-06-29 10:20:44","2022-06-29 09:56:09 ; 2022-06-29 10:07:18",,,,,,,,,,,"2022-07-29 09:53:16 ; 2022-07-29 09:53:53",,,,,,,,,,,,"2022-06-29 10:25:30",,,,,
2022-08-02T01:55:23Z,2022-08-02T02:07:12Z,"5949-2-6-58-0",,"2022-08-01 22:07:10",,,,,,,,,,,,,,,"2022-08-01 21:55:23",,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-01 21:56:16",,,,,,,,,,"2022-08-01 22:03:09",,,,,,,"2022-08-01 21:55:20",,,,,,"2022-08-01 22:03:57","2022-08-01 22:06:49",,"2022-08-01 22:04:05",,,,,,,,
2022-08-01T13:37:39Z,2022-08-01T13:38:06Z,"7480-1-6-59-0",,"2022-08-01 09:38:06",,,,"2022-08-01 09:37:51",,,,,,,,,,,"2022-08-01 09:37:40",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-08-01 09:37:45",,,,,,,,,,,,,,,"2022-08-01 09:37:39 ; 2022-08-01 09:37:45",,,,,,,,,,"2022-08-01 09:37:58",,,,,,,
2022-07-29T21:58:29Z,2022-07-29T22:00:51Z,"8856-2-6-64-0","2022-07-29 17:59:53","2022-07-29 18:00:50",,,,"2022-07-29 17:59:25","2022-07-29 17:59:43",,,,,,,,,,"2022-07-29 17:58:45",,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-29 17:59:14",,,,,,,,,,,,,,,"2022-07-29 17:58:28 ; 2022-07-29 17:59:15 ; 2022-07-29 17:59:43",,,,,,,,,,,,"2022-07-29 18:00:43",,,,,
2022-07-29T17:51:54Z,2022-07-29T22:58:08Z,"9429-1-6-65-0",,"2022-06-29 14:15:56",,,,"2022-07-29 13:52:23 ; 2022-07-29 18:57:08",,,,,,,,,,,"2022-07-29 13:51:07",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-06-29 13:53:01 ; 2022-06-29 13:55:56 ; 2022-06-29 13:55:58 ; 2022-06-29 13:56:02 ; 2022-06-29 13:56:10 ; 2022-06-29 13:57:56 ; 2022-06-29 13:58:37 ; 2022-06-29 14:00:20 ; 2022-06-29 14:00:33 ; 2022-06-29 14:01:01 ; 2022-06-29 14:01:35 ; 2022-06-29 14:02:52",,,,,"2022-06-29 14:12:56 ; 2022-06-29 14:15:29",,,"2022-06-29 13:57:58 ; 2022-06-29 13:58:36 ; 2022-06-29 14:00:07 ; 2022-06-29 14:00:22 ; 2022-06-29 14:01:13 ; 2022-06-29 14:01:31 ; 2022-06-29 14:01:50 ; 2022-06-29 14:03:13","2022-06-29 14:08:15 ; 2022-06-29 14:15:10",,,,,"2022-07-29 13:50:56 ; 2022-07-29 13:52:02 ; 2022-07-29 14:34:19",,,,,,,,,,"2022-06-29 14:15:31",,,,,,,
2022-07-30T13:42:16Z,2022-07-30T13:42:39Z,"5477-2-6-53-0",,"2022-07-30 09:42:37",,"2022-07-30 09:42:31",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"2022-07-30 09:42:14",,,,,,,,,,,,,,,,,
