Video analysis state log

Face Model	General
Calibration	Continuous
Start time	1/12/2023 17:06:28.709
Filename	C:\Charles-Pension\Session-11212022\30-11\PC4-30-11-2022-16-32-25.mp4
Frame rate	6.240091512

Age	Gender
32.000000000	Female


Video Time	Dominant Expression
00:00:00.000	Unknown
00:00:01.442	Neutral
00:00:45.832	Sad
00:00:46.794	Neutral
00:01:03.781	Sad
00:01:06.505	Neutral
00:01:25.094	Sad
00:01:28.139	Neutral
00:01:31.344	Sad
00:01:32.306	Neutral
00:02:10.446	Sad
00:02:14.613	Neutral
00:03:18.234	Sad
00:03:19.356	Neutral
00:03:37.464	Sad
00:03:38.746	Neutral
00:03:43.714	Sad
00:03:46.438	Neutral
00:03:58.938	Sad
00:03:59.900	Neutral
00:04:07.592	Sad
00:04:08.874	Neutral
00:04:25.380	Sad
00:04:27.303	Neutral
00:04:28.906	Sad
00:04:30.028	Neutral
00:04:33.874	Sad
00:04:34.835	Neutral
00:04:56.630	Sad
00:04:57.431	Neutral
00:05:08.649	Sad
00:05:09.931	Neutral
00:05:20.668	Sad
00:05:22.110	Neutral
00:05:23.072	Sad
00:05:26.277	Neutral
00:05:29.161	Sad
00:05:29.963	Neutral
00:05:33.969	Sad
00:05:34.930	Neutral
00:06:23.808	Sad
00:06:24.930	Neutral
00:06:30.218	Sad
00:06:31.821	Neutral
00:08:08.294	Sad
00:08:09.095	Neutral
00:10:41.336	Sad
00:10:43.099	Neutral
00:10:48.387	Sad
00:10:50.951	Neutral
00:11:27.970	Sad
00:11:28.932	Neutral
00:12:05.790	Sad
00:12:07.393	Unknown
00:12:08.194	Sad
00:12:10.117	Neutral
00:12:34.315	Sad
00:12:35.597	Neutral
00:12:48.257	Sad
00:12:49.059	Neutral
00:13:16.943	Sad
00:13:22.872	Neutral
00:13:50.436	Sad
00:13:53.160	Neutral
00:14:14.795	Sad
00:14:15.756	Neutral
00:14:18.320	Sad
00:14:23.609	Neutral
00:14:24.410	Sad
00:14:33.865	Unknown
00:14:35.307	Neutral
00:14:56.300	Sad
00:14:58.384	Neutral
00:15:05.916	Sad
00:15:06.877	Neutral
00:15:11.685	Sad
00:15:14.249	Neutral
00:15:16.813	Sad
00:15:19.537	Neutral
00:15:20.980	Sad
00:15:24.505	Neutral
00:15:25.947	Sad
00:15:30.595	Neutral
00:15:39.409	Sad
00:15:46.300	Neutral
00:15:47.422	Sad
00:15:48.223	Neutral
00:16:13.222	Sad
00:16:14.504	Neutral
00:16:18.671	Sad
00:16:19.633	Neutral
00:17:04.343	Sad
00:17:07.388	Neutral
00:17:09.792	Sad
00:17:10.754	Neutral
00:17:14.920	Sad
00:17:16.683	Neutral
00:17:19.087	Sad
00:17:22.132	Neutral
00:17:26.298	Sad
00:17:27.260	Neutral
00:17:33.990	Sad
00:17:35.433	Neutral
00:18:04.278	Sad
00:18:09.086	Neutral
00:18:10.368	Sad
00:18:11.330	Neutral
00:18:12.131	Sad
00:18:14.855	Neutral
00:18:19.182	Sad
00:18:31.041	Neutral
00:19:05.175	Sad
00:19:11.265	Neutral
00:19:12.066	Sad
00:19:22.963	Neutral
00:19:25.047	Unknown
00:19:25.688	Neutral
00:19:26.809	Sad
00:19:29.694	Neutral
00:19:32.098	Sad
00:19:33.219	Neutral
00:19:34.021	Sad
00:19:38.668	Neutral
00:19:42.995	Sad
00:19:44.598	Neutral
00:19:48.283	Sad
00:19:49.726	Neutral
00:19:51.649	Sad
00:19:53.572	Neutral
00:19:57.738	Sad
00:20:00.943	Neutral
00:20:03.347	Sad
00:20:05.591	Neutral
00:20:07.834	Sad
00:20:08.636	Neutral
00:20:10.719	Sad
00:20:14.084	Neutral
00:20:16.168	Sad
00:20:19.373	Neutral
00:20:21.616	Sad
00:20:28.507	Neutral
00:20:33.796	Sad
00:20:38.763	Neutral
00:20:43.411	Sad
00:20:54.308	Neutral
00:20:56.231	Sad
00:21:00.558	Neutral
00:21:01.840	Sad
00:21:06.327	Neutral
00:21:07.128	Sad
00:21:09.532	Neutral
00:21:11.455	Sad
00:21:12.256	Neutral
00:21:18.346	Sad
00:21:19.949	Neutral
00:21:33.731	Sad
00:21:41.743	Neutral
00:22:11.871	Sad
00:22:18.922	Neutral
00:22:21.005	Sad
00:22:23.730	Neutral
00:22:40.717	Sad
00:22:41.999	Neutral
00:22:43.281	Sad
00:22:45.044	Neutral
00:22:47.608	Sad
00:22:51.133	Neutral
00:22:53.537	Sad
00:22:56.261	Neutral
00:22:57.864	Sad
00:22:59.787	Neutral
00:23:01.550	Unknown
00:23:02.191	Neutral
00:23:05.556	Sad
00:23:22.062	Neutral
00:23:26.549	Sad
00:23:32.158	Neutral
00:23:34.242	Sad
00:23:35.524	Neutral
00:23:36.325	Sad
00:23:37.607	Neutral
00:23:48.985	Sad
00:24:05.331	Neutral
00:24:13.504	Sad
00:24:19.754	Neutral
00:24:23.119	Sad
00:24:24.241	Neutral
00:24:37.061	Sad
00:24:38.343	Neutral
00:24:45.555	Sad
00:24:47.157	Neutral
00:24:49.401	Sad
00:25:11.516	Neutral
00:25:12.958	Sad
00:25:14.240	Neutral
00:25:29.464	Sad
00:25:30.746	Neutral
00:25:32.028	Sad
00:25:32.830	Neutral
00:25:54.624	Sad
00:25:55.586	Neutral
00:26:39.175	Sad
00:26:40.297	Neutral
00:26:42.220	Sad
00:26:46.867	Unknown
00:26:48.470	Neutral
00:26:55.681	Sad
00:26:56.803	Neutral
00:27:02.091	Sad
00:27:03.053	Neutral
00:29:10.134	Sad
00:29:18.467	Neutral
00:30:31.223	Sad
00:30:32.184	Neutral
00:31:29.235	Sad
00:31:32.279	Neutral
00:32:17.631	Happy
00:32:18.433	Neutral
00:32:28.368	Sad
00:32:29.971	Neutral
00:32:58.176	Sad
00:32:58.977	Neutral
00:33:06.028	Sad
00:33:22.374	Neutral
00:33:28.944	Sad
00:33:30.867	Neutral
00:34:19.264	Sad
00:34:20.226	Neutral
00:34:31.443	Sad
00:34:32.405	Neutral
00:34:55.962	Sad
00:34:56.764	Neutral
00:35:20.161	Sad
00:35:21.282	Neutral
00:35:30.096	Sad
00:35:31.859	Neutral
00:35:53.173	Sad
00:35:55.897	Neutral
00:36:52.307	Sad
00:36:53.268	Neutral
00:36:54.550	Sad
00:36:55.512	Neutral
00:37:05.127	Sad
00:37:05.928	Neutral
00:37:29.806	Sad
00:37:30.768	Neutral
00:37:42.306	Sad
00:37:43.107	Neutral
00:37:48.556	Sad
00:37:51.280	Neutral
00:37:52.723	Sad
00:37:59.133	Neutral
00:38:11.953	Sad
00:38:12.915	Neutral
00:38:49.613	Sad
00:38:50.574	Neutral
00:38:51.856	Sad
00:38:58.427	Neutral
00:39:05.798	Sad
00:39:11.888	Unknown
00:39:14.292	Sad
00:39:16.535	Neutral
00:39:22.785	Sad
00:39:25.510	Neutral
00:39:26.792	Sad
00:39:33.522	Neutral
00:39:35.285	Sad
00:39:42.497	Neutral
00:39:44.740	Sad
00:39:53.554	Angry
00:39:55.157	Sad
00:40:21.438	Neutral
00:40:27.368	Sad
00:40:35.380	Neutral
00:40:38.906	Sad
00:40:40.669	Neutral
00:40:45.957	Sad
00:40:51.566	Neutral
00:41:11.758	Sad
00:41:14.162	Neutral
00:41:58.392	Sad
00:42:02.398	Neutral
00:42:23.552	Angry
00:42:25.315	Neutral
00:42:27.398	Angry
00:42:29.321	Neutral
00:42:30.443	Angry
00:42:34.289	Unknown
00:42:34.930	Angry
00:42:35.892	Neutral
00:42:37.174	Angry
00:42:39.898	Neutral
00:42:41.020	Sad
00:42:42.141	Angry
00:42:45.827	Neutral
00:42:47.750	Angry
00:42:49.513	Sad
00:42:53.039	Unknown
00:42:54.481	Neutral
00:43:03.615	Angry
00:43:04.417	Neutral
00:43:06.180	Angry
00:43:08.904	Neutral
00:43:24.448	END
