Video analysis state log

Face Model	General
Calibration	Continuous
Start time	1/12/2023 13:42:03.020
Filename	C:\Charles-Pension\Session-11212022\29-11\PC7-29-11-2022-12-57-08.mp4
Frame rate	6.901782887

Age	Gender
22.000000000	Female


Video Time	Dominant Expression
00:00:00.000	Unknown
00:00:01.304	Neutral
00:00:03.332	Angry
00:00:04.491	Neutral
00:01:00.564	Angry
00:01:02.157	Neutral
00:01:04.765	Angry
00:01:09.547	Neutral
00:01:32.584	Angry
00:01:35.047	Neutral
00:01:36.641	Angry
00:01:39.394	Neutral
00:01:43.451	Angry
00:01:45.624	Neutral
00:01:46.349	Angry
00:01:47.073	Neutral
00:02:17.935	Angry
00:02:19.094	Neutral
00:02:31.120	Angry
00:02:33.293	Neutral
00:02:36.915	Disgusted
00:02:37.640	Angry
00:02:39.379	Neutral
00:02:41.987	Unknown
00:02:43.146	Neutral
00:02:54.447	Angry
00:02:55.317	Neutral
00:02:58.504	Unknown
00:03:00.098	Neutral
00:03:40.812	Angry
00:03:43.855	Neutral
00:03:52.693	Unknown
00:04:04.574	Sad
00:04:05.588	Unknown
00:04:09.935	Sad
00:04:10.949	Neutral
00:04:13.412	Unknown
00:04:15.296	Neutral
00:04:16.455	Angry
00:04:17.179	Neutral
00:04:18.194	Angry
00:04:18.918	Neutral
00:04:46.737	Angry
00:04:48.331	Neutral
00:04:51.663	Angry
00:04:53.692	Neutral
00:05:14.846	Angry
00:05:15.570	Neutral
00:05:16.584	Angry
00:05:21.656	Neutral
00:05:38.897	Angry
00:05:40.057	Neutral
00:06:10.049	Angry
00:06:12.367	Neutral
00:06:21.350	Unknown
00:06:21.930	Neutral
00:06:22.654	Angry
00:06:24.393	Neutral
00:06:26.856	Angry
00:06:29.174	Neutral
00:06:30.189	Angry
00:06:31.058	Neutral
00:06:32.797	Unknown
00:06:34.101	Angry
00:06:35.549	Neutral
00:06:38.592	Angry
00:06:43.229	Neutral
00:06:43.953	Angry
00:06:48.010	Unknown
00:06:49.314	Neutral
00:06:57.863	Angry
00:06:59.456	Neutral
00:07:27.710	Angry
00:07:33.071	Neutral
00:07:37.852	Angry
00:07:38.577	Neutral
00:07:41.909	Angry
00:07:42.923	Neutral
00:07:56.253	Angry
00:07:56.978	Neutral
00:08:31.317	Angry
00:08:36.098	Neutral
00:08:41.749	Angry
00:08:47.979	Neutral
00:08:49.138	Angry
00:08:50.152	Neutral
00:08:54.209	Unknown
00:08:55.658	Neutral
00:10:59.249	Angry
00:11:01.857	Neutral
00:11:51.265	Angry
00:11:52.569	Neutral
00:14:14.416	Angry
00:14:15.286	Sad
00:14:17.459	Neutral
00:14:32.528	Angry
00:14:33.542	Neutral
00:17:43.493	Angry
00:17:44.507	Neutral
00:18:24.352	Angry
00:18:25.221	Neutral
00:18:42.318	Happy
00:18:45.216	Neutral
00:20:00.849	Unknown
00:20:02.587	Neutral
00:21:35.752	Angry
00:21:36.621	Neutral
00:21:50.386	Angry
00:22:29.506	Neutral
00:24:50.774	Angry
00:24:51.933	Neutral
00:25:35.400	Angry
00:25:36.994	Neutral
00:25:48.730	Angry
00:25:50.903	Neutral
00:25:51.772	Angry
00:25:52.932	Neutral
00:26:04.378	Angry
00:26:05.392	Neutral
00:27:49.133	Angry
00:27:50.293	Neutral
00:27:51.741	Unknown
00:27:52.321	Neutral
00:28:19.995	Angry
00:28:21.009	Neutral
00:28:46.800	Angry
00:28:47.814	Neutral
00:29:03.897	Angry
00:29:07.084	Neutral
00:29:10.562	Angry
00:29:11.286	Neutral
00:29:28.383	Angry
00:29:41.278	Neutral
00:29:50.551	Angry
00:29:54.608	Neutral
00:29:55.333	Angry
00:29:56.782	Neutral
00:29:57.651	Angry
00:29:59.100	Neutral
00:29:59.969	Angry
00:30:01.128	Neutral
00:30:30.251	Angry
00:30:50.246	Unknown
