Video analysis state log

Face Model	General
Calibration	Continuous
Start time	11/18/2022 01:59:19.689
Filename	C:\Charles-Pension\Session-11112022\11-11\PC2-11-11-2022-12-00-20.mp4
Frame rate	6.231896755

Age	Gender
41.000000000	Female


Video Time	Dominant Expression
00:00:00.000	Unknown
00:00:01.444	Neutral
00:00:44.930	Sad
00:00:46.534	Neutral
00:00:53.113	Sad
00:00:54.718	Neutral
00:00:56.002	Sad
00:00:57.285	Neutral
00:01:17.183	Sad
00:01:19.269	Neutral
00:01:24.564	Sad
00:01:29.057	Neutral
00:01:34.032	Sad
00:01:34.834	Neutral
00:01:47.832	Sad
00:01:49.116	Neutral
00:01:50.720	Sad
00:01:55.855	Neutral
00:01:56.978	Sad
00:02:08.692	Neutral
00:02:09.495	Sad
00:02:12.383	Neutral
00:02:13.506	Sad
00:02:15.913	Unknown
00:02:16.555	Sad
00:02:20.727	Neutral
00:02:22.171	Sad
00:02:30.034	Neutral
00:02:38.860	Sad
00:02:42.229	Neutral
00:03:21.062	Sad
00:03:24.753	Neutral
00:03:26.036	Sad
00:03:27.320	Neutral
00:03:33.899	Sad
00:03:34.862	Neutral
00:03:38.713	Sad
00:03:39.676	Neutral
00:04:07.918	Sad
00:04:08.720	Neutral
00:04:20.273	Sad
00:04:21.397	Neutral
00:04:57.501	Sad
00:04:58.304	Neutral
00:05:15.313	Sad
00:05:16.597	Neutral
00:05:27.990	Sad
00:05:29.273	Neutral
00:05:38.901	Sad
00:05:40.987	Unknown
00:05:42.431	Neutral
00:05:44.517	Sad
00:05:45.641	Neutral
00:05:48.689	Sad
00:05:49.652	Neutral
00:06:00.564	Sad
00:06:02.169	Neutral
00:06:24.152	Sad
00:06:25.275	Neutral
00:06:32.336	Angry
00:06:33.780	Neutral
00:06:35.064	Angry
00:06:36.508	Neutral
00:06:57.047	Sad
00:07:01.380	Neutral
00:07:08.280	Unknown
00:07:09.724	Sad
00:07:12.613	Neutral
00:08:24.501	Angry
00:08:25.464	Neutral
00:08:28.191	Angry
00:08:29.475	Neutral
00:08:31.240	Angry
00:08:32.524	Neutral
00:10:23.405	Sad
00:10:24.208	Neutral
00:11:05.768	Angry
00:11:06.731	Neutral
00:11:11.705	Angry
00:11:12.668	Neutral
00:11:53.105	Angry
00:11:55.833	Neutral
00:12:00.968	Unknown
00:12:01.610	Neutral
00:12:02.893	Angry
00:12:06.745	Neutral
00:12:07.868	Angry
00:12:09.954	Neutral
00:13:36.284	Sad
00:13:37.086	Neutral
00:15:20.746	Angry
00:15:22.191	Neutral
00:16:55.100	Angry
00:16:56.063	Neutral
00:17:33.451	Sad
00:17:39.067	Neutral
00:17:43.079	Sad
00:17:43.881	Neutral
00:18:34.107	Sad
00:18:38.439	Neutral
00:19:07.644	Sad
00:19:08.606	Neutral
00:19:22.406	Angry
00:19:23.851	Neutral
00:19:45.995	Sad
00:19:46.797	Neutral
00:20:23.383	Sad
00:20:24.827	Neutral
00:20:26.913	Sad
00:20:29.641	Neutral
00:20:30.604	Sad
00:20:31.406	Neutral
00:20:34.455	Sad
00:20:37.023	Neutral
00:20:38.306	Sad
00:20:39.911	Unknown
00:20:40.553	Sad
00:20:42.318	Neutral
00:20:47.613	Unknown
00:20:48.255	Neutral
00:20:53.069	Sad
00:20:53.871	Neutral
00:20:58.685	Sad
00:21:00.129	Neutral
00:21:01.574	Unknown
00:21:04.943	Neutral
00:21:30.618	Sad
00:21:31.902	Neutral
00:21:44.257	Sad
00:21:45.220	Neutral
00:22:01.267	Sad
00:22:03.353	Neutral
00:22:15.227	Sad
00:22:16.511	Neutral
00:22:20.201	Sad
00:22:21.806	Neutral
00:22:34.483	Unknown
00:22:35.927	Sad
00:22:37.371	Neutral
00:22:44.111	Sad
00:22:47.480	Unknown
00:22:48.925	Neutral
00:22:54.380	Sad
00:22:55.183	Neutral
00:23:35.620	Sad
00:23:36.583	Neutral
00:23:51.666	Sad
00:24:03.701	Neutral
00:24:14.131	Sad
00:24:15.094	Neutral
00:24:20.069	Sad
00:24:20.871	Neutral
00:24:25.845	Sad
00:24:27.129	Neutral
00:25:08.208	Sad
00:25:09.492	Neutral
00:26:01.322	Sad
00:26:02.445	Neutral
00:26:05.815	Sad
00:26:08.222	Neutral
00:26:13.196	Unknown
00:26:13.838	Neutral
00:26:16.406	Sad
00:26:28.440	Neutral
00:26:29.243	Sad
00:26:30.366	Neutral
00:26:32.773	Sad
00:26:37.266	Neutral
00:26:40.796	Sad
00:26:41.599	Neutral
00:26:42.722	Sad
00:26:49.782	Neutral
00:26:50.745	Sad
00:26:52.671	Unknown
00:26:53.312	Sad
00:26:54.115	Neutral
00:27:03.743	Sad
00:27:29.738	Neutral
00:27:37.922	Sad
00:27:39.045	Neutral
00:28:07.126	Angry
00:28:08.250	Neutral
00:28:09.212	Angry
00:28:10.977	Neutral
00:28:11.940	Angry
00:28:13.705	Neutral
00:28:24.136	Sad
00:28:26.543	Neutral
00:28:28.147	Sad
00:28:28.950	Neutral
00:28:33.443	Sad
00:28:41.626	Neutral
00:28:43.391	Sad
00:28:46.601	Neutral
00:28:51.094	Sad
00:28:54.463	Neutral
00:29:07.140	Sad
00:29:58.970	Neutral
00:31:06.686	Sad
00:31:07.649	Neutral
00:31:08.452	Angry
00:31:09.254	Neutral
00:32:03.812	Sad
00:32:06.540	Neutral
00:32:25.314	Sad
00:32:26.277	Neutral
00:32:40.879	Unknown
00:32:41.521	Neutral
00:32:48.100	Sad
00:32:52.112	Neutral
00:32:53.556	Sad
00:32:55.802	Neutral
00:32:56.765	Sad
00:32:58.049	Neutral
00:33:00.135	Sad
00:33:01.258	Neutral
00:33:02.542	Sad
00:33:06.072	Neutral
00:33:08.800	Sad
00:33:10.084	Neutral
00:33:11.688	Sad
00:33:13.775	Neutral
