Video analysis state log

Face Model	General
Calibration	Continuous
Start time	11/18/2022 10:09:53.479
Filename	C:\Charles-Pension\Session-11112022\14-11\PC7-14-11-2022-15-41-15.mp4
Frame rate	6.866524756

Age	Gender
28.000000000	Female


Video Time	Dominant Expression
00:20:48.229	Sad
00:20:53.472	Neutral
00:20:58.715	Sad
00:21:01.191	Unknown
00:21:02.501	Neutral
00:21:05.705	Sad
00:21:07.162	Neutral
00:21:09.637	Sad
00:21:11.239	Neutral
00:21:15.026	Sad
00:21:15.900	Neutral
00:21:17.356	Sad
00:21:18.084	Neutral
00:21:19.104	Sad
00:21:19.832	Neutral
00:21:21.725	Sad
00:21:23.327	Neutral
00:21:26.240	Sad
00:21:28.133	Neutral
00:21:28.861	Sad
00:21:32.356	Neutral
00:21:35.560	Sad
00:21:43.861	Unknown
00:21:45.172	Neutral
00:21:46.920	Sad
00:21:47.648	Neutral
00:21:50.415	Sad
00:21:52.891	Neutral
00:21:54.201	Sad
00:22:06.289	Neutral
00:22:09.202	Unknown
00:22:10.512	Sad
00:22:19.833	Unknown
00:22:21.144	Neutral
00:22:22.018	Sad
00:22:24.056	Neutral
00:22:24.785	Sad
00:22:26.678	Neutral
00:22:40.804	Sad
00:22:42.115	Neutral
00:22:44.008	Sad
00:22:44.882	Neutral
00:22:46.047	Sad
00:22:48.232	Neutral
00:22:48.960	Sad
00:22:51.436	Unknown
00:22:52.018	Sad
00:23:12.698	Neutral
00:23:14.591	Sad
00:23:15.611	Neutral
00:23:25.805	Sad
00:23:27.262	Neutral
00:23:29.737	Sad
00:23:30.466	Neutral
00:23:39.349	Sad
00:23:40.077	Neutral
00:23:46.631	Sad
00:23:48.087	Neutral
00:23:49.252	Sad
00:23:50.272	Neutral
00:23:51.000	Sad
00:23:52.165	Neutral
00:23:52.893	Sad
00:23:56.097	Neutral
00:23:57.699	Sad
00:24:03.670	Neutral
00:24:11.389	Sad
00:24:13.864	Neutral
00:24:18.816	Unknown
00:24:19.544	Neutral
00:24:22.166	Unknown
00:24:23.768	Neutral
00:24:34.545	Sad
00:24:38.914	Neutral
00:24:44.156	Unknown
00:24:45.467	Sad
00:24:46.632	Neutral
00:24:49.690	Sad
00:24:59.011	Neutral
00:25:01.050	Sad
00:25:11.390	Neutral
00:25:13.429	Sad
00:25:15.613	Neutral
00:25:22.749	Sad
00:25:24.788	Neutral
00:25:27.118	Sad
00:25:28.138	Neutral
00:25:35.565	Sad
00:25:39.206	Neutral
00:25:40.080	Sad
00:25:42.264	Neutral
00:25:42.993	Sad
00:25:50.420	Neutral
00:25:51.294	Sad
00:25:52.022	Neutral
00:25:52.896	Sad
00:25:55.080	Neutral
00:25:55.808	Sad
00:26:15.469	Neutral
00:26:23.042	Sad
00:26:27.993	Neutral
00:26:31.052	Sad
00:26:34.256	Neutral
00:26:35.712	Sad
00:26:36.732	Neutral
00:26:39.499	Sad
00:26:52.169	Neutral
00:27:02.800	Unknown
00:27:04.839	Neutral
00:27:05.713	Sad
00:27:12.994	Neutral
00:27:18.820	Sad
00:27:22.606	Neutral
00:27:31.344	Sad
00:27:36.005	Neutral
00:27:37.024	Sad
00:27:42.704	Neutral
00:27:45.325	Sad
00:27:48.383	Neutral
00:27:49.549	Sad
00:28:01.345	Neutral
00:28:10.520	Sad
00:28:11.248	Neutral
00:28:16.491	Sad
00:28:18.675	Neutral
00:28:23.918	Sad
00:28:27.705	Neutral
00:28:31.491	Sad
00:28:38.190	Neutral
00:28:42.559	Sad
00:28:47.365	Unknown
00:28:48.676	Neutral
00:28:52.317	Sad
00:28:54.064	Neutral
00:29:03.094	Sad
00:29:04.987	Neutral
00:29:14.308	Sad
00:29:17.075	Neutral
00:29:21.152	Sad
00:29:25.958	Neutral
00:29:27.852	Sad
00:29:30.910	Neutral
00:29:35.425	Sad
00:29:42.124	Neutral
00:29:44.891	Sad
00:29:48.240	Neutral
00:29:50.425	Sad
00:30:10.668	Neutral
00:30:12.852	Sad
00:30:34.261	Neutral
00:30:36.300	Happy
00:30:41.397	Sad
00:30:42.125	Neutral
00:30:43.144	Sad
00:30:47.805	Neutral
00:30:49.115	Sad
00:30:51.737	Neutral
00:30:57.271	Sad
00:31:08.048	Neutral
00:31:09.213	Sad
00:31:09.941	Neutral
00:31:11.397	Sad
00:31:15.766	Neutral
00:31:17.660	Sad
00:31:18.825	Neutral
00:31:25.378	Sad
00:31:26.543	Neutral
00:31:30.767	Sad
00:31:31.495	Neutral
00:31:33.388	Happy
00:31:34.408	Neutral
00:31:39.068	Sad
00:31:39.942	Neutral
00:31:43.728	Sad
00:31:48.971	Neutral
00:32:12.855	Sad
00:32:17.370	Neutral
00:32:21.156	Sad
00:32:22.176	Neutral
00:32:24.069	Sad
00:32:33.535	Neutral
00:32:37.613	Happy
00:32:40.525	Neutral
00:32:49.263	Sad
00:32:58.438	Neutral
00:33:02.371	Sad
00:33:04.264	Neutral
00:33:12.274	Sad
00:33:16.206	Neutral
00:33:23.051	Sad
00:33:28.585	Neutral
00:33:31.206	Sad
00:33:32.226	Neutral
00:33:34.993	Unknown
00:33:37.614	Neutral
00:33:43.876	Happy
00:33:46.789	Neutral
00:33:53.051	Sad
00:33:57.275	Happy
00:34:00.915	Neutral
00:34:04.993	Unknown
00:34:06.013	Neutral
00:34:10.819	Unknown
00:34:11.692	Neutral
00:34:16.207	Sad
00:34:21.304	Neutral
00:34:24.799	Happy
00:34:25.965	Neutral
00:34:31.353	Happy
00:34:32.518	Neutral
00:34:35.722	Happy
00:34:37.178	Neutral
00:34:38.198	Sad
00:34:42.276	Neutral
00:34:46.062	Sad
00:34:48.101	Happy
00:34:49.849	Sad
00:34:52.179	Neutral
00:35:01.208	Sad
00:35:05.868	Neutral
00:35:07.325	Sad
00:35:09.946	Neutral
00:35:20.432	Happy
00:35:22.325	Neutral
00:35:28.587	Sad
00:35:29.752	Neutral
00:35:32.665	Sad
00:35:37.471	Neutral
00:35:40.966	Sad
00:35:41.840	Neutral
00:35:54.219	Sad
00:35:54.947	Neutral
00:35:56.403	Sad
00:35:58.733	Neutral
00:35:59.462	Happy
00:36:03.685	Neutral
00:36:04.413	Happy
00:36:06.743	Neutral
00:36:07.471	Happy
00:36:10.384	Neutral
00:36:11.695	Happy
00:36:16.064	Sad
00:36:18.831	Neutral
00:36:22.617	Unknown
00:36:23.346	Neutral
00:36:24.219	Happy
00:36:25.384	Unknown
00:44:13.598	Neutral
00:44:14.617	END
